,3,4,5,6,7,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:38.267,01:35.658,01:40.689,01:41.174,01:41.610,01:39.330,01:33.756,01:38.679,01:36.143,01:40.334,01:36.600,01:37.772,01:32.800,01:31.686,01:42.098,01:34.819,01:42.644,01:37.280,01:39.822
1,21:49.969,23:04.276,22:43.286,07:41.057,01:41.610,22:04.029,14:57.407,22:52.149,22:49.449,21:39.882,22:03.753,22:52.150,21:30.191,21:43.655,21:13.335,22:12.844,01:42.644,22:13.268,01:39.822
2,01:32.138,01:30.963,01:33.380,01:34.545,01:33.319,01:32.814,01:29.507,01:32.422,01:31.140,01:33.222,01:31.494,01:32.085,01:29.103,01:28.791,01:34.049,01:30.325,01:34.186,01:31.738,01:33.170
3,01:31.096,01:30.765,01:31.953,01:33.236,01:31.945,01:31.533,01:29.273,01:31.511,01:30.910,01:31.943,01:30.811,01:30.852,01:28.827,01:28.587,01:33.612,01:30.155,01:33.882,01:30.683,01:31.837
4,01:31.260,01:30.355,01:32.027,01:32.304,01:32.230,01:31.439,01:28.902,01:31.321,01:30.509,01:31.871,01:30.654,01:31.193,01:29.026,01:28.789,01:32.407,01:30.356,01:32.609,01:30.997,01:31.553
5,01:31.060,01:30.501,01:31.230,01:31.755,01:31.984,01:31.367,01:29.249,01:31.339,01:30.630,01:33.084,01:30.823,01:30.854,01:28.718,01:28.630,01:31.634,01:30.387,01:31.678,01:30.644,01:31.597
6,01:30.776,01:30.555,01:31.316,01:32.003,01:31.868,01:30.786,01:29.239,01:30.920,01:30.586,01:31.590,01:30.541,01:30.881,01:28.707,01:28.593,01:32.041,01:30.329,01:32.508,01:30.639,01:31.313
7,01:31.021,01:30.312,01:30.715,01:31.378,01:31.350,01:30.757,01:29.022,01:30.811,01:30.320,01:31.070,01:30.284,01:30.764,01:28.636,01:28.550,01:31.681,01:30.316,01:31.589,01:30.195,01:30.707
8,01:30.954,01:30.287,01:30.942,01:31.795,01:31.420,01:31.135,01:28.940,01:31.052,01:30.372,01:31.007,01:30.458,01:30.631,01:28.817,01:28.585,01:32.228,01:30.255,01:32.193,01:30.533,01:31.022
