,3,4,5,6,7,9,10,11,14,16,18,22,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:46.476,01:30.875,01:43.358,01:55.251,01:50.522,01:57.036,01:37.666,01:43.418,01:51.658,01:44.259,01:46.722,01:44.370,01:27.835,01:35.027,01:53.050,01:49.634,01:48.842,01:35.924,01:47.502
2,01:50.873,01:51.122,01:50.886,01:49.943,01:51.989,01:50.392,01:49.937,01:49.522,01:51.680,01:51.896,01:50.815,01:51.442,01:52.329,01:50.314,01:50.990,01:49.898,01:49.775,01:50.523,02:00.589
3,01:41.960,01:55.160,01:44.609,01:36.821,01:38.727,01:34.939,01:50.415,01:54.355,01:38.230,01:43.056,01:45.918,01:47.399,01:56.564,01:52.275,01:37.819,01:40.723,01:41.031,01:51.307,01:34.513
4,01:13.293,01:11.327,01:13.188,01:13.750,01:13.730,01:14.616,01:12.457,01:16.025,01:13.455,01:14.272,01:13.110,01:12.813,01:09.799,01:11.463,01:13.580,01:14.202,01:14.362,01:11.801,01:13.813
5,01:11.872,01:10.100,01:11.716,01:12.996,01:12.612,01:13.191,01:11.035,01:11.663,01:13.048,01:12.116,01:11.643,01:11.526,01:09.735,01:10.109,01:13.960,01:12.562,01:12.326,01:10.598,01:13.165
6,01:11.313,01:09.903,01:11.363,01:12.722,01:11.940,01:13.238,01:10.945,01:11.316,01:12.082,01:11.675,01:11.167,01:11.110,01:09.451,01:10.058,01:13.518,01:11.808,01:11.925,01:10.019,01:12.736
7,01:10.948,01:09.602,01:11.058,01:11.600,01:11.172,01:12.286,01:10.401,01:11.003,01:11.202,01:10.797,01:11.098,01:10.697,01:09.282,01:09.649,01:11.720,01:11.126,01:11.129,01:09.608,01:11.530
8,01:11.110,01:09.694,01:10.991,01:11.392,01:11.113,01:12.080,01:10.875,01:11.253,01:11.474,01:11.129,01:11.006,01:10.960,01:09.327,01:09.746,01:11.950,01:11.088,01:11.001,01:09.894,01:11.822
