,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99,,,,,,,
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi,,,,,,,
1,02:00.631,02:00.202,01:58.358,02:34.905,02:01.534,02:06.029,01:55.240,01:54.523,01:57.109,01:52.162,02:04.253,01:57.578,02:00.049,01:53.236,01:52.533,02:05.671,01:55.799,02:08.197,01:59.467,02:02.391,,,,,,,
2,01:50.972,01:51.296,01:50.157,01:52.208,01:51.655,01:53.144,01:49.031,01:49.180,01:50.062,01:49.672,01:51.395,01:50.071,01:50.850,01:49.550,01:49.236,01:52.393,01:49.542,02:07.330,01:50.418,01:55.997,,,,,,,
3,01:50.246,01:49.911,01:49.020,01:50.685,01:51.973,01:51.220,01:49.207,01:48.644,01:48.760,01:48.746,01:49.532,01:48.534,02:10.806,01:48.040,01:48.060,01:50.490,01:49.300,01:50.787,01:49.315,02:06.274,,,,,,,
4,01:48.635,01:47.490,01:48.427,01:49.947,01:50.255,01:49.955,01:47.938,01:47.842,01:48.662,01:47.600,01:48.911,01:48.998,,01:47.826,01:47.462,01:50.588,01:48.563,01:49.894,01:49.208,01:48.836,,,,,,,
5,01:48.401,01:49.001,01:48.787,01:49.472,01:48.865,01:49.871,01:47.643,01:47.157,01:48.448,01:47.260,01:48.862,01:48.142,,01:47.107,01:47.642,01:50.103,01:47.796,01:49.098,01:48.222,01:48.592,,,,,,,
6,01:48.255,01:48.772,01:48.717,01:49.469,01:49.024,01:50.279,01:47.915,01:47.513,01:48.932,01:47.963,01:48.509,01:48.695,,01:47.548,01:47.394,01:49.707,01:47.894,01:49.339,01:48.335,01:48.784,,,,,,,
7,01:48.938,01:52.031,01:48.430,01:49.322,01:48.785,01:50.664,01:47.705,01:47.046,01:54.515,01:48.611,01:48.233,01:48.910,,01:47.218,01:47.056,01:49.824,01:48.084,01:49.446,01:48.877,01:48.703,,,,,,,
8,01:48.211,02:04.045,01:48.189,01:49.254,01:48.567,01:50.991,01:47.396,01:47.273,02:05.508,01:48.721,01:48.315,01:48.338,,01:47.149,01:47.084,01:53.586,01:47.762,01:48.919,01:48.418,01:48.640,,,,,,,
9,01:48.407,01:47.474,01:49.127,01:54.357,01:48.499,01:57.044,01:47.410,01:47.415,01:48.046,01:51.823,01:48.007,01:51.376,,01:47.125,01:47.399,02:08.615,01:47.295,01:48.821,01:48.134,01:48.238,,,,,,,
10,01:48.715,01:46.978,01:47.658,02:08.706,01:49.285,02:10.548,01:47.098,01:46.881,01:49.436,02:03.438,01:48.182,02:05.319,,01:47.295,01:47.441,01:47.915,01:51.542,01:49.020,01:48.326,01:48.307,,,,,,,
11,01:52.582,01:48.712,01:47.274,01:48.547,01:49.351,01:51.471,01:51.282,01:47.497,01:49.303,01:48.105,01:48.086,01:47.980,,01:47.327,01:51.218,01:49.616,02:24.010,01:49.070,01:52.171,01:49.199,,,,,,,
12,02:05.143,01:47.556,01:47.065,01:48.609,01:49.263,01:49.607,02:04.046,01:46.800,01:48.142,01:49.086,01:48.432,01:47.429,,01:50.389,02:06.683,01:48.415,01:47.524,01:48.867,02:04.342,01:48.243,,,,,,,
13,01:47.980,01:47.478,01:47.184,01:48.413,01:54.150,01:49.010,01:47.362,01:49.960,01:48.233,01:48.039,01:48.095,01:47.482,,02:02.951,01:46.600,01:48.642,01:47.216,01:48.799,01:47.664,01:48.168,,,,,,,
14,01:47.580,01:47.256,01:46.852,01:48.134,02:05.079,01:49.435,01:47.880,02:04.379,01:48.362,01:47.674,01:47.262,01:47.272,,01:46.192,01:46.670,01:48.641,01:47.108,01:50.084,01:47.352,01:47.832,,,,,,,
15,01:46.981,01:47.313,01:46.643,01:48.536,01:48.235,01:49.724,01:46.929,01:45.868,01:48.101,01:47.272,01:46.882,01:46.842,,01:46.385,01:46.913,01:48.383,01:47.136,01:49.163,01:47.023,01:47.919,,,,,,,
16,01:47.324,01:46.845,01:46.609,01:48.063,01:48.408,01:49.150,01:47.048,01:46.341,01:48.945,01:47.240,01:46.798,01:47.023,,01:45.741,01:45.675,01:48.469,01:47.956,01:48.684,01:46.626,01:47.989,,,,,,,
17,01:47.822,01:46.758,01:46.582,01:47.868,01:47.681,01:49.154,01:47.607,01:46.122,01:48.420,01:47.574,01:46.953,01:46.921,,01:45.920,01:46.145,01:48.203,01:48.058,01:48.748,01:46.612,01:47.805,,,,,,,
18,01:47.200,01:46.767,01:50.359,01:47.940,01:47.797,01:49.033,01:47.353,01:46.063,01:48.131,01:47.204,01:46.752,01:46.684,,01:46.101,01:45.763,01:48.595,01:47.732,01:48.378,01:46.253,01:48.093,,,,,,,
19,01:46.779,01:46.424,02:02.792,01:47.754,01:47.474,01:48.682,01:46.751,01:45.798,01:48.250,01:47.286,01:46.737,01:46.852,,01:45.897,01:46.229,01:48.035,01:47.874,01:48.020,01:46.172,01:47.798,,,,,,,
20,01:47.023,01:47.001,01:46.527,01:48.020,01:47.202,01:48.477,01:46.923,01:45.837,01:47.835,01:47.182,01:46.641,01:46.951,,01:45.966,01:45.910,01:47.971,01:48.022,01:47.860,01:46.610,01:47.774,,,,,,,
21,01:47.034,01:47.261,01:46.593,01:47.604,01:47.658,01:49.043,01:46.675,01:45.722,01:47.927,01:47.258,01:46.813,01:46.688,,01:45.705,01:45.814,01:47.842,01:47.279,01:47.524,01:47.358,01:47.507,,,,,,,
22,01:46.741,01:46.879,01:46.694,01:47.690,01:47.458,01:48.468,01:46.781,01:45.898,01:47.669,01:46.512,01:46.611,01:46.932,,01:45.775,01:46.116,01:48.363,01:47.583,01:47.592,01:47.513,01:47.755,,,,,,,
23,01:46.759,01:46.448,01:46.468,01:47.480,01:47.457,01:48.723,01:46.625,01:45.616,01:47.528,01:46.358,01:46.582,01:46.615,,01:45.676,01:46.379,01:47.844,01:48.433,01:47.542,01:47.736,01:50.239,,,,,,,
24,01:46.731,01:46.566,01:46.521,01:47.954,01:47.535,02:03.145,01:47.113,01:45.591,01:47.225,01:46.492,01:46.421,01:46.388,,01:45.456,01:46.283,01:48.157,01:46.035,01:47.209,01:46.903,01:48.258,,,,,,,
25,01:47.021,01:46.559,01:46.344,01:47.796,01:46.956,01:51.506,01:46.957,01:45.605,01:47.344,01:46.641,01:46.296,01:46.500,,01:45.415,01:45.620,01:47.834,01:46.342,01:47.095,01:46.770,01:47.482,,,,,,,
26,01:46.596,01:46.613,01:46.112,01:47.636,01:47.106,01:51.008,01:46.735,01:46.973,01:47.613,01:46.387,01:46.553,01:46.727,,01:45.352,01:46.044,01:47.943,01:46.595,01:47.081,01:46.336,01:47.359,,,,,,,
27,01:46.567,01:46.536,01:46.649,01:47.560,01:47.696,01:49.012,01:46.801,01:45.995,01:48.973,01:46.669,01:46.408,01:46.570,,01:45.452,01:46.346,01:48.519,01:47.451,01:47.497,01:46.385,01:47.362,,,,,,,
28,01:46.820,01:46.458,01:46.611,01:47.649,01:47.061,01:48.639,01:46.585,01:45.860,01:47.235,01:46.516,01:46.207,01:46.530,,01:45.550,01:46.101,01:48.489,01:46.299,01:47.466,01:46.064,01:47.498,,,,,,,
29,01:46.549,01:46.670,01:46.298,01:47.623,01:46.644,01:48.358,01:46.362,01:45.810,01:47.202,01:46.178,01:46.534,01:46.640,,01:45.394,01:45.846,01:48.330,01:45.971,01:47.048,01:46.175,01:47.317,,,,,,,
30,01:47.757,01:48.166,01:47.095,02:08.490,02:01.820,02:18.302,01:46.856,01:46.023,01:56.935,01:46.478,,01:47.042,,01:45.653,01:45.592,02:09.562,01:55.573,02:03.604,01:48.298,02:00.150,,,,,,,
31,02:28.090,02:31.344,02:21.217,02:24.259,02:28.201,02:54.353,02:18.563,02:15.567,02:27.250,02:19.518,,02:21.750,,02:12.177,02:18.410,02:29.746,02:30.484,02:28.426,02:32.239,02:27.093,,,,,,,
32,02:37.575,02:37.751,02:50.195,02:12.845,02:19.686,02:55.350,02:50.373,03:07.842,02:27.200,02:51.722,,02:47.597,,03:17.279,03:04.722,02:09.207,02:20.384,02:15.643,02:39.292,02:22.062,,,,,,,
33,02:53.493,02:54.646,02:52.520,02:43.145,02:45.000,02:48.728,02:55.300,02:55.360,02:46.667,02:53.539,,02:52.159,,02:55.319,02:55.025,02:34.221,02:53.797,02:43.578,02:51.985,02:45.133,,,,,,,
34,02:45.961,02:46.614,02:50.842,02:37.327,02:40.708,02:05.129,02:50.608,02:53.159,02:44.922,02:50.506,,02:50.831,,02:52.599,02:52.744,02:38.945,02:43.934,02:41.548,02:47.055,02:45.155,,,,,,,
35,02:53.628,02:56.989,02:59.206,02:50.669,02:51.587,02:11.838,03:01.625,03:04.268,02:51.110,03:00.559,,02:58.048,,03:05.197,03:03.419,02:57.857,02:52.976,02:49.330,02:55.425,02:50.266,,,,,,,
36,01:54.044,01:53.425,01:51.402,01:57.301,01:55.163,01:50.393,01:51.912,01:49.238,01:54.090,01:52.944,,01:53.216,,01:47.649,01:50.101,01:48.452,01:53.772,01:57.492,01:56.702,01:56.087,,,,,,,
37,01:49.082,01:48.098,01:46.757,01:49.570,01:49.247,01:48.315,01:48.223,01:46.516,01:49.079,01:47.663,,01:47.860,,01:45.752,01:46.514,01:49.281,01:48.282,01:49.524,01:48.988,01:49.507,,,,,,,
38,01:47.290,01:46.777,01:45.928,01:48.667,01:47.662,01:48.110,01:46.332,01:45.889,01:46.996,01:46.886,,01:46.373,,01:45.326,01:45.215,01:48.709,01:46.966,01:47.739,01:48.389,01:47.142,,,,,,,
39,01:46.295,01:46.075,01:45.481,01:48.612,01:46.164,01:47.819,01:46.032,01:45.405,01:46.314,01:45.805,,01:46.039,,01:45.125,01:46.020,01:47.784,01:46.229,01:47.340,01:47.724,01:46.220,,,,,,,
40,01:46.101,01:46.100,01:45.462,01:47.680,01:46.272,01:47.747,01:45.380,01:45.196,01:46.649,01:45.753,,01:46.099,,01:44.805,01:45.019,01:48.272,01:45.735,01:46.781,01:46.432,01:46.360,,,,,,,
41,01:46.009,01:45.326,01:44.890,01:47.546,01:46.290,01:47.939,01:45.486,01:44.950,01:46.344,01:45.732,,01:45.809,,01:44.861,01:45.027,01:47.624,01:45.901,01:46.162,01:46.362,01:46.022,,,,,,,
42,01:45.923,01:45.603,01:45.376,01:46.608,01:45.631,01:48.846,01:45.266,01:45.051,01:45.624,01:45.712,,01:45.893,,01:45.186,01:45.258,01:47.890,01:45.700,01:46.054,01:45.976,01:46.109,,,,,,,
43,01:45.713,01:45.830,01:45.250,01:47.098,01:45.601,01:50.255,01:45.669,01:44.794,01:46.035,01:45.594,,01:45.744,,01:44.929,01:44.769,01:48.923,01:45.823,01:45.959,01:45.665,01:45.911,,,,,,,
