Number,3,4,5,6,7,10,11,14,16,18,22,31,33,44,47,55,63,77,99
Name,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,02:08.545,02:06.744,02:31.797,02:25.219,02:16.372,02:04.697,02:27.951,02:10.373,02:02.698,02:12.396,02:22.502,02:19.866,01:58.245,01:59.538,02:26.524,02:14.282,02:24.364,02:03.772,02:18.362
2,02:20.642,02:20.999,02:18.294,02:19.416,02:19.993,02:22.263,02:20.666,02:19.776,02:21.183,02:19.603,02:18.520,02:18.821,02:22.406,02:22.712,02:19.552,02:19.070,02:18.994,02:21.478,02:18.879
3,02:31.045,02:32.067,02:22.630,02:18.832,02:25.649,02:32.610,02:15.246,02:30.630,02:35.188,02:29.035,02:22.096,02:23.946,02:38.001,02:36.656,02:17.719,02:28.127,02:19.901,02:34.199,02:25.126
4,01:51.438,01:49.988,01:57.475,02:01.239,01:56.558,02:06.772,01:58.724,01:52.313,01:46.103,01:52.919,02:00.403,01:57.137,01:44.343,01:44.932,02:09.259,01:53.477,01:57.443,01:48.046,01:53.761
5,01:41.470,01:42.220,01:41.948,01:40.773,01:40.574,02:11.534,01:40.010,01:40.858,01:45.543,01:41.463,01:40.554,01:40.334,01:44.629,01:45.139,01:39.927,01:41.209,01:40.849,01:43.651,01:42.150
6,01:37.571,01:37.893,01:37.484,01:39.237,01:37.831,01:36.677,01:37.480,01:37.652,01:38.294,01:37.046,01:38.218,01:37.855,01:35.982,01:36.169,01:38.744,01:37.112,01:40.223,01:37.109,01:37.852
7,01:37.205,01:36.906,01:37.964,01:38.390,01:38.014,01:36.954,01:37.891,01:37.366,01:37.148,01:37.209,01:37.329,01:37.991,01:35.902,01:36.123,01:39.134,01:37.139,01:39.318,01:36.355,01:37.993
8,01:37.639,01:37.724,01:38.935,01:38.518,01:38.015,01:37.424,01:37.134,01:38.006,01:37.886,01:37.700,01:37.491,01:38.234,01:36.032,01:36.075,01:39.272,01:37.829,01:38.317,01:36.022,01:37.972
9,01:37.858,01:37.360,01:39.358,01:38.784,01:37.993,01:37.030,01:37.381,01:39.062,01:38.667,01:37.797,01:37.907,01:37.866,01:36.012,01:36.148,01:39.164,01:38.396,01:38.415,01:37.086,01:38.008
10,01:37.782,01:37.523,01:38.100,01:38.027,01:37.622,01:37.375,01:36.788,01:37.758,01:37.518,01:37.614,01:37.738,01:38.818,01:36.175,01:36.082,01:38.955,01:38.012,01:38.386,01:36.405,01:37.846
11,01:37.314,01:37.162,01:38.184,01:38.280,01:38.086,01:37.517,01:37.837,01:40.308,01:37.729,01:37.536,01:37.593,01:37.945,01:36.179,01:36.143,01:39.180,01:37.562,01:38.471,01:36.384,01:37.765
12,01:38.454,01:40.425,01:38.169,01:38.781,01:37.783,01:38.054,01:37.988,01:56.122,01:40.477,01:40.751,01:37.947,01:38.201,01:36.592,01:36.507,01:39.979,01:37.716,01:38.719,01:36.460,01:40.892
13,01:40.195,01:57.417,01:38.050,01:38.526,01:39.710,01:37.874,01:36.949,01:36.844,01:56.773,01:56.840,01:37.882,01:40.503,01:36.291,01:38.924,01:39.685,01:37.660,01:40.821,01:36.423,02:05.351
14,01:57.427,01:35.286,01:38.011,01:42.131,01:57.033,01:38.302,01:36.870,01:37.143,01:35.552,01:37.477,01:37.923,01:57.222,01:36.880,01:55.006,01:42.903,01:37.591,01:57.136,01:36.736,01:37.462
15,01:36.081,01:35.679,01:38.024,01:59.286,01:36.336,01:38.001,01:36.853,01:37.447,01:35.955,01:36.841,01:40.580,01:36.659,01:36.924,01:34.057,02:01.871,01:40.840,01:36.811,01:36.583,01:36.790
16,01:36.790,01:36.344,01:39.302,01:36.602,01:37.309,01:37.993,01:36.526,01:37.183,01:36.415,01:37.065,01:57.127,01:37.030,01:37.033,01:35.104,01:37.351,01:56.548,01:37.105,01:39.534,01:37.458
17,01:36.542,01:36.239,01:38.734,01:37.665,01:37.169,01:38.415,01:37.062,01:37.797,01:36.936,01:36.333,01:36.147,01:37.242,01:39.153,01:35.099,01:37.627,01:36.150,01:36.771,01:54.719,01:37.201
18,01:37.424,01:36.045,01:38.717,01:37.508,01:37.151,01:39.272,01:38.124,01:36.984,01:36.432,01:36.951,01:36.149,01:37.095,01:55.532,01:35.266,01:37.740,01:36.364,01:37.199,01:35.038,01:37.139
19,01:36.383,01:36.084,01:39.071,01:37.644,01:37.121,01:40.838,01:39.720,01:37.506,01:36.289,01:38.008,01:35.979,01:36.674,01:34.421,01:35.346,01:37.944,01:36.450,01:37.319,01:34.518,01:37.005
20,01:36.622,01:36.463,01:39.584,01:37.447,01:36.923,01:59.290,01:56.512,01:39.078,01:36.603,01:36.451,01:38.319,01:38.408,01:34.870,01:35.324,01:38.231,01:38.966,01:37.643,01:34.774,01:37.279
21,01:36.664,01:36.569,01:39.996,01:37.556,01:37.665,01:36.483,01:35.721,01:40.090,01:36.721,01:37.206,01:37.210,01:38.677,01:34.829,01:35.837,01:38.020,01:36.702,01:37.711,01:35.098,01:37.387
22,01:36.682,01:36.371,01:40.754,01:37.618,01:37.571,01:36.475,01:35.633,01:37.759,01:36.457,01:36.957,01:36.558,01:37.317,01:35.159,01:35.539,01:37.670,01:36.516,01:37.683,01:35.077,01:37.442
