,3,4,5,6,7,9,10,11,14,16,18,22,31,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,02:09.397,02:08.698,02:10.610,02:26.229,02:16.273,02:28.985,02:19.081,02:29.563,02:12.307,02:02.700,02:17.724,02:24.225,02:16.727,02:05.599,02:25.570,02:13.629,02:22.688,02:06.173,02:20.441
2,02:41.042,02:38.631,02:43.397,02:54.392,02:45.159,02:53.397,02:48.344,02:54.839,02:43.560,02:39.045,02:46.803,02:52.335,02:46.033,02:38.142,02:52.950,02:45.213,02:51.364,02:39.641,02:49.294
3,37:11.723,37:11.598,37:10.588,37:22.718,37:15.325,37:33.574,37:20.925,37:32.336,37:13.466,37:07.083,37:18.138,37:20.798,37:16.939,37:09.155,37:20.706,37:13.164,37:21.085,37:09.294,37:21.267
4,02:30.939,02:32.439,02:42.978,01:56.501,02:19.184,01:44.503,02:08.686,01:42.651,02:24.593,02:40.134,02:12.540,02:00.737,02:16.604,02:37.266,01:59.887,02:22.426,02:02.552,02:36.914,02:05.661
5,01:34.142,01:33.318,01:35.272,01:37.107,01:36.398,01:38.789,01:36.555,01:35.983,01:35.626,01:32.805,01:35.163,01:37.689,01:35.130,01:33.049,01:39.029,01:33.782,01:36.865,01:33.727,01:36.308
6,01:34.023,01:33.428,01:34.602,01:35.620,01:34.929,01:37.188,01:34.385,01:35.256,01:34.496,01:32.910,01:34.664,01:35.655,01:34.832,01:33.113,01:37.141,01:34.026,01:35.260,01:33.577,01:35.876
7,01:33.820,01:33.556,01:35.270,01:35.773,01:35.251,01:37.928,01:35.210,01:34.763,01:34.993,01:33.003,01:34.986,01:35.510,01:34.982,01:32.738,01:36.993,01:33.807,01:36.469,01:33.543,01:35.379
8,01:33.890,01:33.402,01:34.986,01:35.548,01:35.003,01:37.033,01:35.158,01:34.882,01:34.889,01:33.105,01:34.921,01:35.609,01:35.072,01:32.928,01:37.531,01:33.937,01:35.577,01:33.571,01:35.295
9,01:33.710,01:33.373,01:34.370,01:35.350,01:34.988,01:36.697,01:34.927,01:34.058,01:34.701,01:32.970,01:34.625,01:35.213,01:34.762,01:33.013,01:36.428,01:33.915,01:35.192,01:33.096,01:36.091
10,01:33.638,01:33.011,01:34.437,01:34.984,01:34.766,01:36.408,01:34.729,01:34.621,01:34.211,01:33.232,01:34.338,01:34.806,01:34.548,01:33.458,01:36.098,01:34.001,01:34.723,01:33.312,01:34.858
11,01:33.842,01:33.286,01:34.548,01:34.706,01:34.554,01:36.265,01:34.537,01:34.535,01:34.430,01:32.841,01:34.338,01:34.936,01:34.639,01:32.950,01:36.141,01:33.886,01:34.878,01:33.397,01:34.635
12,01:33.817,01:33.295,01:34.505,01:35.126,01:34.845,01:36.732,01:34.825,01:34.822,01:34.577,01:32.939,01:34.473,01:34.687,01:34.593,01:32.943,01:36.616,01:33.862,01:34.754,01:33.423,01:34.917
13,01:33.956,01:33.193,01:34.732,01:34.897,01:34.788,01:36.397,01:34.958,01:34.837,01:33.869,01:32.969,01:34.227,01:35.310,01:34.781,01:33.158,01:36.449,01:34.135,01:35.352,01:33.380,01:34.743
14,01:33.903,01:33.165,01:34.351,01:34.867,01:34.681,01:36.363,01:34.588,01:34.570,01:33.677,01:32.744,01:34.191,01:34.639,01:34.389,01:32.749,01:36.074,01:33.798,01:34.693,01:33.340,01:34.656
15,01:33.757,01:32.827,01:34.615,01:34.273,01:34.264,01:36.104,01:34.227,01:34.353,01:33.553,01:33.282,01:33.936,01:34.299,01:34.090,01:32.713,01:35.820,01:33.598,01:34.282,01:32.694,01:34.571
16,01:33.497,01:32.778,01:34.685,01:34.480,01:34.273,01:36.152,01:34.314,01:34.182,01:33.434,01:32.623,01:33.779,01:34.542,01:34.152,01:32.473,01:35.631,01:33.637,01:34.385,01:32.415,01:34.554
17,01:33.603,01:32.586,01:34.168,01:34.387,01:34.142,01:35.735,01:34.135,01:34.081,01:33.261,01:32.475,01:33.331,01:34.283,01:33.975,01:32.291,01:35.857,01:33.202,01:34.122,01:32.454,01:34.051
18,01:33.627,01:32.520,01:33.837,01:34.490,01:33.762,01:35.376,01:34.260,01:33.404,01:33.396,01:32.296,01:33.453,01:34.152,01:34.037,01:32.548,01:35.940,01:33.192,01:32.972,01:32.543,01:34.331
19,01:33.389,01:32.586,01:53.237,01:33.034,01:52.938,01:36.011,01:32.960,01:52.025,01:33.180,01:31.985,01:33.552,01:33.552,01:33.472,01:32.597,01:37.027,01:33.344,01:51.666,01:32.639,01:34.034
20,01:32.164,01:32.293,01:33.442,01:52.614,01:34.157,01:35.879,01:32.932,01:32.816,01:33.097,01:32.128,01:33.337,01:33.125,01:53.457,01:32.076,01:35.630,01:32.730,01:33.230,01:32.409,01:33.478
21,01:53.326,01:31.418,01:33.436,01:33.566,01:33.789,01:35.692,01:32.788,01:32.609,01:32.950,01:31.974,01:33.285,01:33.724,01:32.946,01:32.297,01:35.951,01:32.457,01:33.563,01:32.488,01:33.765
22,01:32.711,01:55.033,01:33.203,01:33.515,01:33.943,01:35.822,01:32.933,01:32.062,01:33.179,01:32.223,01:33.817,01:33.485,01:34.079,01:32.189,01:35.452,01:32.366,01:33.716,01:31.869,01:33.622
23,01:32.212,01:33.509,01:33.325,01:33.497,01:33.939,01:35.634,01:32.925,01:32.297,01:35.154,01:32.259,01:32.955,01:33.458,01:33.186,01:32.311,01:35.387,01:32.064,01:33.883,01:52.484,01:33.119
24,01:32.670,01:32.830,01:33.749,01:33.803,01:33.907,01:34.736,01:32.855,01:32.159,01:33.490,01:32.296,01:52.567,01:32.873,01:33.223,01:32.686,01:33.930,01:32.254,01:33.831,01:31.988,01:53.252
25,01:32.637,01:32.274,01:33.430,01:33.600,01:33.404,01:33.671,01:32.784,01:32.448,01:53.530,01:32.048,01:33.581,01:32.681,01:32.939,01:32.115,01:57.006,01:31.885,01:33.295,01:31.415,01:33.247
26,01:32.569,01:32.040,01:33.454,01:33.169,01:33.609,01:55.157,01:32.764,01:32.835,01:33.077,01:31.993,01:33.106,01:32.578,01:32.784,01:31.854,01:34.381,01:31.819,01:33.467,01:31.520,01:33.205
27,01:32.923,01:32.047,01:33.158,01:33.241,01:33.560,01:34.423,01:33.201,01:32.755,01:32.901,01:32.082,01:32.943,01:32.577,01:32.882,01:32.852,01:35.266,01:32.260,01:33.292,01:31.804,01:33.431
