,3,4,5,6,9,10,11,14,16,18,22,31,33,44,47,55,63,77,88,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Robert Kubica,Antonio Giovinazzi
1,01:25.571,01:27.415,01:28.261,01:37.259,01:29.556,01:21.662,01:36.074,01:24.243,01:22.599,01:27.168,01:27.952,01:24.840,01:17.665,01:19.399,01:29.661,01:23.478,01:26.802,01:20.387,01:29.108,01:26.167
2,01:18.441,01:19.679,01:19.832,01:16.847,01:19.826,01:16.839,01:16.649,01:18.102,01:17.903,01:19.480,01:19.733,01:18.287,01:14.978,01:15.395,01:20.292,01:18.168,01:19.368,01:15.861,01:19.629,01:18.815
3,01:17.856,01:18.278,01:18.565,01:17.682,01:19.416,01:16.483,01:17.812,01:17.532,01:17.062,01:17.944,01:18.452,01:17.626,01:14.813,01:15.045,01:20.525,01:17.552,01:17.818,01:15.699,01:19.283,01:17.772
4,01:17.816,01:18.073,01:18.322,01:19.067,01:18.921,01:16.125,01:17.604,01:17.805,01:16.978,01:17.787,01:18.017,01:17.623,01:14.917,01:14.825,01:25.287,01:17.269,01:17.888,01:15.152,01:18.504,01:17.764
5,01:17.625,01:17.697,01:18.010,01:17.600,01:18.453,01:16.235,01:18.371,01:18.107,01:16.581,01:17.927,01:17.728,01:18.209,01:14.882,01:15.102,01:52.797,01:17.044,01:18.014,01:15.169,01:18.411,01:17.927
6,01:17.913,01:18.241,01:18.529,01:18.334,01:18.665,01:16.138,01:19.362,01:17.955,01:16.597,01:18.432,01:18.110,01:17.961,01:14.900,01:15.118,01:17.210,01:16.989,01:18.225,01:15.530,01:18.229,01:17.915
7,01:18.145,01:18.185,01:18.106,01:17.648,01:18.251,01:16.352,01:18.012,01:17.988,01:16.596,01:17.991,01:18.488,01:17.966,01:15.108,01:15.430,01:20.767,01:17.055,01:17.873,01:15.635,01:18.301,01:17.835
8,01:17.926,01:17.957,01:17.806,01:18.241,01:18.196,01:16.890,01:21.601,01:17.966,01:16.565,01:17.947,01:18.082,01:17.788,01:15.138,01:15.358,01:19.237,01:16.814,01:17.988,01:15.237,01:18.032,01:18.032
9,01:18.003,01:18.531,01:18.778,01:18.036,01:18.398,01:16.552,01:33.499,01:17.745,01:16.327,01:18.079,01:18.538,01:17.991,01:15.133,01:14.750,01:18.132,01:16.893,01:18.223,01:15.755,01:18.429,01:18.555
10,01:18.378,01:18.297,01:21.791,01:17.806,01:18.485,01:16.553,01:14.596,01:17.960,01:16.710,01:18.353,01:18.327,01:18.251,01:15.061,01:15.126,01:18.011,01:16.677,01:18.351,01:15.656,01:18.382,01:18.238
11,01:18.302,01:18.186,01:33.905,01:18.507,01:18.518,01:16.752,01:14.728,01:17.780,01:16.196,01:18.373,01:18.483,01:18.053,01:15.228,01:15.182,01:18.095,01:16.760,01:18.558,01:15.685,01:18.491,01:18.306
12,01:17.640,01:18.150,01:16.404,01:18.552,01:18.552,01:16.491,01:15.180,01:17.440,01:16.330,01:18.202,01:18.077,01:17.684,01:14.917,01:15.000,01:17.855,01:16.796,01:18.022,01:15.511,01:17.996,01:17.988
13,01:17.484,01:17.950,01:16.742,01:17.537,01:19.940,01:16.666,01:15.293,01:17.410,01:16.318,01:17.810,01:17.999,01:17.427,01:15.062,01:15.109,01:19.576,01:16.451,01:17.696,01:15.509,01:17.906,01:17.438
14,01:17.407,01:17.903,01:16.372,01:17.452,01:18.487,01:16.872,01:15.687,01:17.269,01:16.273,01:17.599,01:17.877,01:17.489,01:15.059,01:15.526,01:20.768,01:16.631,01:17.648,01:15.476,01:17.921,01:17.703
15,01:17.670,01:17.680,01:16.587,01:17.186,01:19.124,01:16.313,01:17.590,01:16.759,01:16.547,01:17.806,01:17.738,01:17.295,01:15.138,01:15.139,01:18.439,01:16.509,01:17.850,01:15.566,01:17.815,01:17.555
16,01:17.520,01:17.475,01:16.508,01:17.720,01:18.397,01:16.307,01:15.256,01:16.532,01:16.276,01:17.698,01:17.810,01:16.956,01:15.177,01:15.161,01:20.582,01:16.854,01:17.550,01:15.706,01:17.595,01:17.624
17,01:17.093,01:17.592,01:16.863,01:17.723,01:18.156,01:16.578,01:16.474,01:16.622,01:16.416,01:17.429,01:17.625,01:16.743,01:15.446,01:15.418,01:18.477,01:16.865,01:17.502,01:15.695,01:17.918,01:17.432
18,01:17.000,01:17.337,01:16.939,01:18.386,01:18.107,01:16.599,01:17.510,01:16.606,01:16.331,01:17.275,01:17.487,01:16.765,01:15.331,01:15.476,01:18.258,01:16.295,01:17.267,01:15.499,01:17.836,01:17.240
19,01:17.108,01:17.416,01:18.902,01:18.300,01:19.186,01:16.452,01:16.733,01:16.436,01:16.343,01:17.597,01:17.239,01:16.787,01:15.632,01:15.619,01:18.108,01:16.275,01:17.447,01:15.724,01:17.909,01:17.258
20,01:16.936,01:17.398,01:17.795,01:17.548,01:18.023,01:16.218,01:15.221,01:16.451,01:16.238,01:17.236,01:17.325,01:16.844,01:15.938,01:19.092,01:18.375,01:16.348,01:17.162,01:15.416,01:18.768,01:16.990
21,01:16.769,01:16.927,01:18.365,01:17.472,01:17.952,01:16.430,01:15.903,01:16.558,01:16.207,01:16.884,01:16.948,01:16.723,01:18.594,01:32.549,01:19.666,01:16.317,01:16.709,01:15.496,01:17.344,01:16.859
22,01:16.782,01:16.810,01:17.281,01:17.202,01:17.680,01:16.470,01:16.361,01:15.991,01:16.322,01:16.809,01:16.909,01:16.912,01:32.574,01:13.757,01:17.656,01:16.535,01:16.785,01:15.593,01:17.534,01:16.878
23,01:16.921,01:16.862,01:19.398,01:20.626,01:17.845,01:16.652,01:16.828,01:15.943,01:16.046,01:16.875,01:18.227,01:16.816,01:14.223,01:14.234,01:20.400,01:16.419,01:16.555,01:15.958,01:17.841,01:16.881
24,01:17.150,01:16.767,01:17.920,01:35.434,01:20.891,01:19.651,01:15.819,01:16.258,01:16.812,01:16.902,01:17.548,01:16.681,01:14.257,01:14.238,01:22.129,01:16.561,01:17.012,01:16.486,01:17.746,01:17.060
25,01:17.087,01:16.791,01:17.756,01:15.790,01:21.085,01:33.194,01:16.279,01:16.464,01:15.931,01:17.252,01:17.169,01:16.706,01:14.607,01:14.418,01:23.938,01:16.685,01:17.251,01:16.139,01:17.602,01:17.418
26,01:16.810,01:17.564,01:18.329,01:16.872,01:17.661,01:15.153,01:17.294,01:16.177,01:16.249,01:17.772,01:17.218,01:16.575,01:15.352,01:14.927,01:20.467,01:16.639,01:17.094,01:15.820,01:17.029,01:16.966
27,01:17.120,01:17.321,01:16.812,01:16.410,01:17.605,01:16.285,01:17.235,01:16.390,01:16.244,01:19.910,01:17.178,01:16.880,01:14.393,01:14.787,01:17.820,01:16.738,01:19.487,01:15.508,01:17.083,01:20.442
28,01:17.128,01:16.363,01:16.888,01:16.353,01:17.820,01:15.450,01:16.494,01:17.964,01:16.321,01:34.573,01:17.023,01:16.681,01:14.683,01:14.574,01:17.886,01:17.033,01:34.763,01:15.963,01:17.313,01:34.017
29,01:17.145,01:16.280,01:16.695,01:17.664,01:17.830,01:16.042,01:16.250,01:16.682,01:16.396,01:16.082,01:17.206,01:16.617,01:15.222,01:16.203,01:17.621,01:17.053,01:16.599,01:16.043,01:17.456,01:17.385
30,01:19.869,01:16.217,01:16.583,01:16.449,01:19.159,01:15.911,01:16.282,01:17.040,01:16.703,01:15.935,01:17.154,01:16.668,01:16.362,01:14.526,01:24.301,01:17.151,01:16.293,01:16.974,01:19.589,01:16.568
