,3,4,5,6,7,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:52.843,01:59.977,02:11.207,02:03.999,02:13.405,01:54.003,01:47.814,02:10.127,01:47.198,01:55.367,02:14.267,02:05.387,01:38.603,01:42.572,02:09.679,01:57.218,02:02.630,02:00.892,02:05.332
2,02:22.588,02:22.471,02:24.647,02:23.752,02:26.056,02:23.030,02:26.227,02:23.276,02:25.323,02:23.355,02:21.016,02:35.352,02:29.163,02:28.397,02:21.704,02:22.547,02:23.543,02:22.900,02:23.868
3,02:20.636,02:19.843,02:22.980,02:20.380,02:18.071,02:20.848,02:20.741,02:19.978,02:21.062,02:21.212,02:20.548,02:17.933,02:23.247,02:21.831,02:20.080,02:21.308,02:20.650,02:20.725,02:20.385
4,02:24.931,02:27.079,02:25.242,02:26.822,02:22.477,02:24.697,02:22.893,02:25.540,02:22.840,02:23.912,02:26.700,02:22.503,02:20.332,02:21.660,02:43.646,02:26.446,02:26.172,02:25.912,02:26.814
5,02:24.261,02:21.984,02:22.250,02:23.239,02:23.337,02:23.932,02:25.257,02:22.849,02:25.489,02:23.822,02:23.251,02:23.527,02:25.691,02:25.146,02:25.633,02:21.700,02:23.405,02:23.930,02:23.313
6,02:14.861,02:10.516,02:02.494,02:05.657,02:04.816,02:13.841,02:16.344,02:04.153,02:16.873,02:13.470,02:04.808,02:03.615,02:20.804,02:18.618,02:26.613,02:12.383,02:06.591,02:07.949,02:04.766
7,01:43.179,01:44.428,01:43.631,01:45.309,01:47.421,01:45.639,01:42.175,01:44.943,01:39.585,01:45.488,01:45.185,01:43.577,01:36.303,01:39.225,01:40.345,01:44.461,01:45.621,01:44.829,01:45.362
8,01:39.234,01:38.389,01:41.300,01:41.417,01:43.599,01:38.549,01:37.922,01:41.792,01:34.848,01:40.872,01:41.228,01:41.365,01:32.925,01:34.591,01:41.258,01:40.499,01:41.315,01:41.601,01:41.536
9,01:35.671,01:34.898,01:39.784,01:38.993,01:41.907,01:40.324,01:34.397,01:39.432,01:32.511,01:37.859,01:39.778,01:39.646,01:30.953,01:31.302,01:38.300,01:36.901,01:37.797,01:37.303,01:38.446
10,01:33.429,01:33.029,01:36.740,01:36.052,01:40.809,01:37.475,01:33.119,01:39.713,01:31.679,01:37.471,01:36.507,01:36.693,01:30.130,01:30.100,01:36.089,01:36.070,01:36.863,01:37.736,01:36.764
11,01:33.100,01:32.971,01:35.300,01:37.682,01:41.711,01:38.770,01:31.563,01:35.079,01:30.706,01:35.223,01:36.254,01:35.556,01:29.168,01:28.724,01:34.933,01:30.757,01:37.841,01:37.553,01:37.105
12,01:31.484,01:31.482,01:36.106,01:36.037,01:45.258,01:37.121,01:30.344,01:35.295,01:30.268,01:33.429,01:36.303,01:36.049,01:28.814,01:28.592,01:33.667,01:29.461,01:36.096,01:32.386,01:36.193
13,01:30.824,01:31.918,01:37.804,01:33.403,02:04.703,01:40.823,01:29.822,01:38.046,01:29.440,01:31.981,01:36.642,01:38.886,01:28.119,01:28.250,01:37.606,01:38.279,01:32.220,01:31.538,01:34.176
14,01:30.648,01:29.719,01:31.392,01:32.014,01:38.394,01:40.055,01:29.415,01:35.044,01:29.089,01:31.126,01:31.729,01:34.603,01:27.740,01:28.029,01:33.178,01:29.581,01:31.380,01:31.124,01:31.684
15,01:30.275,01:30.113,01:30.759,01:30.908,01:37.178,02:01.674,01:28.659,01:31.981,01:28.806,01:30.689,01:30.978,01:30.935,01:27.059,01:27.072,01:33.651,01:28.696,01:30.729,01:30.774,01:31.168
16,01:29.075,01:28.964,01:30.212,01:29.757,01:34.541,01:29.982,01:27.923,01:30.330,01:29.571,01:29.930,01:29.997,01:29.687,01:26.597,01:26.578,01:31.196,01:28.981,01:30.127,01:29.260,01:30.411
17,01:31.383,01:27.946,01:29.953,01:29.373,01:35.922,01:30.990,01:27.448,01:29.978,01:28.137,01:29.564,01:29.331,01:29.123,01:26.605,01:27.501,01:30.704,01:27.878,01:29.937,01:29.446,01:29.378
18,01:28.578,01:27.101,01:29.497,01:28.782,01:32.090,01:28.948,01:28.179,01:30.802,01:27.540,01:29.866,01:29.281,01:28.971,01:27.002,01:26.640,01:31.330,01:28.087,01:28.971,01:29.931,01:29.283
19,01:28.823,01:27.049,01:30.034,01:29.543,01:37.635,01:29.568,01:26.933,01:28.275,01:28.092,01:28.700,01:29.051,01:28.708,01:27.068,01:27.021,01:30.214,01:27.853,01:30.570,01:28.844,01:29.946
20,01:28.221,01:27.419,01:38.583,01:29.795,01:32.301,01:28.735,01:26.456,01:29.093,01:28.526,01:28.349,01:29.392,01:32.243,01:27.097,01:26.959,01:34.379,01:28.537,01:29.121,01:28.511,01:29.746
21,01:28.726,01:27.988,02:02.627,01:29.387,01:31.792,01:30.048,01:27.667,01:31.414,01:27.624,01:29.650,01:29.088,01:29.913,01:28.626,01:28.283,01:38.836,01:28.890,01:28.947,01:28.778,01:29.854
22,01:29.264,01:28.538,01:38.889,01:29.575,01:36.466,01:28.688,01:27.185,01:30.010,01:27.050,01:29.851,01:30.206,01:31.931,01:28.257,01:29.277,02:12.310,01:28.734,01:29.482,01:30.124,01:30.082
23,01:29.409,01:28.908,02:13.009,01:31.074,01:38.945,01:30.218,01:28.433,01:31.219,01:27.210,01:30.052,01:30.709,01:31.503,01:29.532,01:28.421,01:36.313,01:27.844,01:29.059,01:30.068,01:30.485
24,01:29.316,01:28.592,01:30.311,01:29.269,02:09.184,01:30.053,01:30.617,01:31.392,01:26.790,01:30.463,01:36.118,01:30.854,01:29.794,01:28.139,01:32.818,01:28.225,01:28.875,01:30.479,01:30.155
25,01:30.023,01:29.157,01:27.106,01:28.457,01:30.235,01:29.771,01:30.301,01:29.980,01:28.310,01:30.380,01:34.886,01:29.646,01:28.967,01:28.842,01:28.198,01:29.873,01:30.048,01:30.295,01:29.089
26,01:31.584,01:29.051,01:25.524,01:33.193,01:28.129,01:36.337,01:29.147,01:29.486,01:28.054,01:29.322,01:55.551,01:29.302,01:28.182,01:27.073,01:26.717,01:27.382,01:34.682,01:29.615,01:32.546
27,01:34.113,01:28.315,01:27.508,01:54.991,01:26.363,02:00.643,01:27.715,01:31.553,01:27.537,01:33.507,01:26.004,01:33.761,01:31.736,01:26.959,01:31.879,01:32.015,01:53.763,01:28.984,01:32.995
28,02:00.052,01:32.204,01:23.756,01:27.169,01:25.943,01:28.310,01:32.716,01:36.599,01:32.467,01:55.935,01:28.730,01:53.457,01:51.252,01:30.425,01:30.596,01:55.179,01:26.543,01:33.667,01:57.324
29,01:25.815,01:52.737,01:22.722,01:26.353,01:26.310,01:24.198,02:07.522,01:55.858,01:53.853,01:29.899,01:23.424,01:27.488,01:24.169,01:53.281,01:28.569,01:25.280,01:28.364,01:55.306,01:25.859
30,01:23.860,01:24.987,01:33.841,01:27.699,02:20.440,01:35.377,01:24.005,01:26.822,01:24.319,01:24.867,01:23.420,01:25.409,01:26.433,01:23.138,01:49.105,01:23.353,01:28.105,01:28.485,01:23.033
31,01:38.289,01:33.211,02:04.488,01:48.040,01:52.033,02:04.947,01:32.634,01:54.573,01:24.395,01:46.014,01:50.753,01:54.569,01:22.954,02:47.042,02:19.925,01:32.779,,,01:52.900
32,01:57.501,02:08.260,02:00.470,02:17.370,26:45.967,01:59.472,02:10.043,02:01.804,01:51.855,02:21.217,02:17.918,02:24.671,01:44.215,02:47.378,27:04.753,02:08.371,,,02:16.380
33,02:02.779,01:56.233,25:58.583,26:26.346,02:07.288,25:54.705,01:58.705,26:30.538,02:11.844,26:23.211,26:28.454,26:22.300,02:24.051,26:30.280,02:25.957,01:58.150,,,26:31.250
34,28:21.389,28:39.827,02:30.825,03:05.643,01:33.235,02:37.649,28:35.146,02:41.883,29:16.098,03:10.646,02:54.647,02:40.094,29:32.740,02:59.588,01:30.136,28:31.950,,,02:50.353
35,01:27.006,01:23.618,01:29.896,01:28.963,01:29.624,01:29.219,01:25.696,01:29.201,01:25.394,01:28.089,01:51.291,01:29.847,01:23.743,01:28.464,01:24.263,01:26.614,,,01:29.248
36,01:22.229,01:21.800,01:24.296,01:23.404,01:25.506,01:23.867,01:21.538,01:23.814,01:21.509,01:22.708,01:22.003,01:24.183,01:21.006,01:23.218,01:23.719,01:21.630,,,01:23.368
37,01:21.303,01:20.748,01:22.651,01:21.991,01:23.627,01:22.344,01:20.627,01:22.342,01:20.807,01:21.469,01:22.135,01:22.552,01:20.353,01:20.972,01:23.893,01:20.714,,,01:22.181
38,01:21.063,01:20.578,01:22.463,01:21.841,01:24.669,01:22.267,01:42.738,01:22.190,01:20.439,01:21.449,01:20.792,01:22.271,01:19.726,01:21.444,01:21.789,01:20.538,,,01:21.999
39,01:20.399,01:19.946,01:20.964,01:21.813,01:22.608,01:21.232,01:21.377,01:21.290,01:20.430,01:23.660,01:19.867,01:21.222,01:19.579,01:19.479,01:21.534,01:20.062,,,01:21.562
40,01:20.249,01:19.745,01:22.391,01:20.744,01:23.024,01:21.196,01:19.642,01:23.317,01:19.512,01:20.519,01:20.001,01:22.206,01:18.935,01:19.303,01:22.612,01:19.998,,,01:26.123
41,01:19.865,01:19.386,01:21.290,01:20.975,01:22.763,01:20.018,01:19.909,01:21.542,01:19.561,01:20.426,01:19.932,01:19.766,01:18.786,01:19.206,01:21.006,01:19.577,,,01:43.562
42,01:21.048,01:19.591,01:20.702,01:20.398,01:24.993,01:19.765,01:19.600,01:20.600,01:19.446,01:20.593,01:19.610,01:20.260,01:18.680,01:18.332,01:20.496,01:19.355,,,01:20.675
43,01:20.033,01:19.484,01:20.505,01:20.299,01:22.407,01:19.715,01:19.106,01:20.679,01:19.399,01:20.100,01:19.660,01:20.049,01:18.529,01:18.648,01:20.823,01:19.143,,,01:20.293
44,01:20.011,01:19.352,01:20.964,01:20.237,01:22.346,01:20.080,01:20.542,01:20.370,01:19.237,01:19.994,01:19.890,01:20.032,01:18.403,01:18.615,01:20.874,01:19.063,,,01:20.392
45,01:20.272,01:19.388,01:21.216,01:20.361,01:21.803,01:20.026,01:21.263,01:20.014,01:19.219,01:20.050,01:20.397,01:19.980,01:18.284,01:18.716,01:22.309,01:19.096,,,01:20.615
46,01:19.958,01:19.205,01:20.669,01:21.691,01:21.356,01:19.267,01:20.629,01:20.093,01:19.370,01:19.580,01:19.991,01:19.985,01:18.011,01:18.406,01:20.402,01:19.078,,,01:20.448
47,01:20.129,01:18.979,01:22.093,01:20.200,01:21.748,01:19.232,01:22.119,01:20.029,01:18.938,01:19.805,01:19.720,01:19.998,01:18.161,01:18.538,01:20.314,01:18.869,,,01:20.186
48,01:20.170,01:18.984,01:21.986,01:20.140,01:23.412,01:19.225,01:18.924,01:19.985,01:19.145,01:19.535,01:20.268,01:19.921,01:18.087,01:18.868,01:19.882,01:19.038,,,01:20.282
49,01:20.276,01:19.025,01:20.593,01:20.536,01:21.181,01:19.348,01:18.334,01:19.882,01:19.025,01:19.464,01:20.314,01:20.303,01:18.171,01:19.154,01:20.277,01:19.269,,,01:19.690
50,01:19.713,01:19.074,01:20.472,01:20.139,01:20.665,01:19.008,01:18.386,01:19.757,01:18.818,01:19.143,01:20.396,01:20.202,01:18.576,01:17.858,01:20.498,01:19.905,,,01:19.763
51,01:19.812,01:18.838,01:20.527,01:20.256,01:20.919,01:18.828,01:18.343,01:19.562,01:18.784,01:19.128,01:20.405,01:20.278,01:18.158,01:18.512,01:20.702,01:19.053,,,01:19.934
52,01:19.612,01:18.950,01:21.470,01:20.146,01:21.073,01:18.972,01:19.646,01:19.719,01:19.094,01:18.994,01:19.149,01:20.081,01:17.963,01:19.001,01:20.260,01:18.549,,,01:19.706
53,01:19.809,01:18.787,01:20.389,01:20.218,01:27.691,01:19.142,01:20.264,01:20.289,01:18.739,01:19.183,01:19.711,01:20.369,01:17.937,01:18.805,01:20.306,01:19.020,,,01:19.756
54,01:19.341,01:19.053,01:19.942,01:20.139,01:20.622,01:19.098,01:20.119,01:20.148,01:19.310,01:19.241,01:19.874,01:20.105,01:17.766,01:19.206,01:19.553,01:19.214,,,01:19.707
55,01:19.580,01:18.717,01:19.615,01:19.866,01:20.402,01:19.407,01:20.047,01:20.059,01:20.016,01:19.464,01:19.512,01:20.081,01:17.803,01:17.950,01:20.025,01:19.123,,,01:19.694
56,01:19.425,01:18.756,01:19.810,01:19.577,01:20.674,01:19.093,01:19.805,01:19.714,01:18.970,01:19.221,01:19.446,01:19.611,01:17.909,01:18.505,01:19.735,01:18.763,,,01:22.056
57,01:19.418,01:18.653,01:19.622,01:19.845,01:20.474,01:21.250,01:19.636,01:19.553,01:18.622,01:19.456,01:19.040,01:19.680,01:18.396,01:18.622,01:19.875,01:18.684,,,01:19.470
58,01:19.786,01:18.951,01:19.170,01:19.993,01:20.681,01:19.354,01:19.584,01:19.750,01:18.676,01:19.741,01:19.131,01:19.813,01:18.032,01:18.957,01:19.193,01:18.612,,,01:19.761
59,01:19.697,01:18.659,01:19.074,01:19.722,01:35.212,01:18.782,01:19.836,01:19.848,01:18.689,01:19.957,01:18.863,01:19.723,01:17.993,01:18.534,01:19.886,01:18.678,,,01:19.574
60,01:19.811,01:19.342,01:19.095,01:19.933,01:23.452,01:19.229,01:20.036,01:19.852,01:18.379,01:19.465,01:18.771,01:19.943,01:17.524,01:16.702,01:19.991,01:18.490,,,01:19.549
