,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:31.083,01:33.959,01:35.498,01:39.177,01:36.748,01:39.826,01:36.030,01:31.943,01:34.655,01:29.442,01:35.051,01:38.543,01:32.775,01:26.190,01:27.702,01:37.640,01:33.500,01:38.084,01:30.174,01:37.299
2,01:25.429,01:26.500,01:27.277,01:28.361,01:27.611,01:28.311,01:27.333,01:25.241,01:26.882,01:24.948,01:27.001,01:27.714,01:25.631,01:23.561,01:23.798,01:28.135,01:25.970,01:28.774,01:25.251,01:27.724
3,01:24.680,01:25.746,01:26.125,01:27.194,01:26.177,01:27.309,01:26.014,01:24.792,01:25.698,01:24.403,01:26.054,01:26.760,01:25.236,01:23.250,01:23.425,01:26.736,01:25.249,01:27.083,01:24.121,01:26.328
4,01:24.436,01:24.945,01:25.312,01:26.338,01:25.585,01:26.368,01:25.503,01:24.723,01:25.097,01:24.198,01:25.293,01:26.189,01:24.858,01:23.209,01:22.938,01:26.209,01:24.828,01:26.223,01:24.192,01:25.723
5,01:24.411,01:24.950,01:25.201,01:26.276,01:25.363,01:26.945,01:25.250,01:24.067,01:25.177,01:24.269,01:25.044,01:24.825,01:24.449,01:23.206,01:23.118,01:27.216,01:24.759,01:26.348,01:24.784,01:25.571
6,01:24.468,01:25.130,01:25.152,01:26.574,01:25.421,01:26.904,01:25.194,01:24.544,01:25.115,01:24.195,01:25.139,01:25.148,01:24.906,01:23.227,01:23.062,01:26.032,01:24.896,01:26.158,01:23.802,01:25.437
7,01:24.212,01:24.853,01:25.047,01:26.037,01:25.434,01:26.460,01:25.027,01:24.305,01:24.966,01:24.062,01:25.112,,01:24.617,01:23.090,01:23.261,01:26.324,01:24.460,01:26.109,01:23.896,01:25.294
8,01:32.522,01:34.755,01:34.995,01:40.465,01:35.413,01:41.651,01:34.747,01:33.466,01:34.310,01:31.332,01:35.339,,01:33.985,01:25.483,01:29.253,01:40.855,01:34.859,01:38.318,01:32.075,01:38.019
9,02:00.615,01:57.441,01:56.652,01:54.725,01:56.450,01:51.289,01:57.318,01:59.695,01:57.266,02:02.691,01:56.562,,01:57.570,02:14.880,02:11.611,01:52.822,01:57.331,01:54.735,02:02.218,02:40.997
10,02:16.222,02:11.688,02:10.428,01:59.384,02:08.604,01:58.697,02:09.701,02:16.144,02:11.431,02:17.414,02:10.488,,02:15.246,02:19.896,02:18.416,02:01.225,02:13.662,02:02.194,02:16.909,01:34.073
11,01:25.621,01:27.143,01:27.601,01:27.806,01:27.580,01:29.483,01:27.610,01:25.649,01:28.119,01:24.637,01:26.810,,01:26.308,01:23.251,01:23.608,01:27.945,01:26.753,01:27.634,01:25.078,01:24.691
12,01:24.598,01:25.919,01:26.475,01:27.480,01:26.762,01:27.754,01:26.572,01:24.816,01:26.158,01:24.059,01:26.059,,01:25.262,01:23.297,01:23.415,01:28.065,01:25.296,01:26.442,01:24.108,01:24.854
13,01:24.619,01:25.244,01:25.487,01:26.425,01:25.986,01:27.042,01:25.730,01:24.437,01:25.340,01:23.839,01:25.574,,01:25.014,01:23.009,01:23.038,01:26.496,01:25.179,01:26.057,01:23.988,01:24.908
14,01:24.666,01:25.485,01:25.315,01:26.592,01:25.503,01:27.211,01:25.350,01:25.046,01:25.556,01:23.846,01:25.265,,01:24.952,01:23.155,01:23.180,01:26.657,01:24.727,01:25.749,01:23.881,01:25.239
15,01:24.923,01:25.077,01:25.604,01:25.714,01:25.589,01:26.891,01:25.588,01:24.989,01:25.459,01:23.786,01:25.326,,01:24.906,01:23.152,01:23.309,01:27.827,01:25.321,01:25.522,01:24.035,01:26.395
16,01:24.705,01:25.052,01:25.476,01:25.442,01:25.541,01:27.647,01:25.450,01:24.563,01:25.438,01:23.890,01:25.512,,01:24.954,01:23.515,01:23.250,01:26.352,01:24.988,01:25.845,01:23.898,01:24.931
17,01:24.491,01:25.599,01:24.956,01:25.419,01:25.463,01:26.744,01:25.133,01:24.530,01:25.157,01:23.742,01:25.264,,01:24.623,01:23.263,01:23.467,01:25.773,01:24.888,01:25.212,01:23.731,01:25.405
18,01:24.588,01:25.179,01:25.695,01:25.560,01:25.485,01:26.881,01:28.954,01:24.394,01:25.634,01:23.758,01:25.282,,01:24.886,01:23.289,01:23.318,01:27.943,01:24.872,01:25.455,01:23.736,01:24.888
19,01:24.479,01:24.615,01:25.349,01:25.349,01:25.171,01:26.627,01:47.357,01:24.514,01:25.195,01:23.821,01:25.041,,01:24.729,01:23.317,01:23.407,01:26.159,01:24.768,01:25.448,01:23.699,01:25.042
20,01:24.436,01:24.485,01:25.545,01:25.497,01:25.447,01:26.548,01:23.081,01:24.512,01:25.331,01:23.963,01:25.219,,01:25.167,01:23.362,01:23.559,01:25.978,01:25.154,01:25.712,01:23.840,01:25.269
21,01:24.643,01:24.792,01:28.530,01:25.557,01:25.123,01:26.782,01:23.046,01:24.723,01:28.466,01:23.834,01:25.119,,01:25.228,01:23.460,01:23.167,01:26.076,01:24.977,01:25.679,01:23.837,01:25.288
22,01:24.769,01:24.783,01:44.529,01:25.596,01:24.940,01:31.969,01:25.942,01:24.764,01:42.352,01:24.105,01:28.864,,01:25.145,01:23.513,01:23.323,01:26.300,01:28.620,01:25.048,01:24.151,01:25.261
23,01:24.514,01:27.125,01:23.247,01:25.292,01:24.769,01:46.885,01:24.718,01:24.545,01:23.886,01:24.275,01:41.265,,01:28.110,01:23.729,01:23.576,01:29.741,01:40.926,01:25.104,01:27.743,01:24.996
24,01:24.547,01:43.909,01:23.523,01:25.385,01:24.991,01:24.384,01:23.853,01:24.527,01:23.858,01:24.170,01:23.832,,01:43.206,01:28.038,01:24.510,01:46.559,01:23.991,01:25.086,01:40.129,01:25.431
25,01:27.870,01:24.378,01:23.788,01:25.192,01:24.725,01:26.761,01:24.043,01:25.924,01:24.705,01:24.227,01:24.484,,01:24.122,01:41.545,01:23.284,01:24.244,01:24.501,01:24.691,01:21.993,01:25.013
26,01:42.377,01:24.395,01:24.265,01:25.048,01:24.788,01:24.806,01:24.139,01:23.608,01:24.733,01:24.595,01:24.230,,01:24.926,01:21.411,01:23.664,01:24.435,01:23.835,01:24.705,01:22.445,01:26.182
27,01:23.073,01:24.430,01:24.316,01:29.626,01:24.791,01:24.844,01:24.120,01:26.984,01:24.418,01:24.519,01:24.506,,01:23.980,01:22.171,01:23.107,01:24.419,01:23.494,01:25.994,01:22.408,01:26.851
28,01:23.316,01:24.127,01:24.465,01:42.425,01:24.391,01:24.862,01:24.259,01:43.231,01:24.591,01:28.933,01:25.375,,01:24.085,01:22.258,01:27.030,01:24.372,01:23.792,01:27.780,01:22.168,01:26.595
29,01:24.012,01:24.308,01:25.473,01:24.290,01:26.309,01:24.754,01:24.941,01:21.962,01:25.604,01:41.185,01:23.798,,01:23.955,01:22.446,01:40.943,01:23.989,01:23.134,01:41.012,01:22.572,01:26.400
30,01:23.545,01:24.379,01:25.212,01:24.058,01:26.038,01:24.830,01:26.682,01:22.141,01:24.274,01:22.775,01:24.453,,01:24.226,01:22.621,01:21.276,01:23.959,01:23.889,01:23.208,01:22.456,01:28.134
31,01:23.047,01:24.438,01:24.277,01:23.973,01:25.928,01:25.107,01:23.567,01:22.906,01:24.089,01:22.799,01:24.195,,01:23.873,01:22.714,01:21.204,01:24.029,01:22.476,01:23.651,01:22.391,01:26.402
32,01:23.140,01:24.053,01:24.054,01:24.008,01:25.187,01:27.806,01:23.816,01:23.181,01:24.484,01:22.945,01:24.228,,01:24.213,01:22.456,01:21.403,01:24.569,01:23.004,01:23.631,01:22.263,01:26.408
33,01:23.049,01:24.080,01:24.321,01:23.514,01:24.913,01:25.466,01:24.030,01:23.043,01:24.187,01:22.710,01:23.989,,01:24.326,01:22.131,01:21.509,01:23.962,01:22.956,01:23.614,01:22.228,01:25.302
34,01:23.045,01:24.120,01:23.920,01:23.828,01:24.949,01:27.730,01:23.955,01:23.051,01:24.102,01:22.625,01:24.234,,01:24.204,01:21.533,01:21.512,01:24.267,01:22.901,01:23.986,01:22.377,01:25.029
35,01:22.969,01:24.276,01:23.914,01:24.411,01:26.779,01:25.299,01:24.079,01:22.951,01:24.106,01:22.582,01:24.277,,01:24.272,01:21.571,01:21.468,01:24.238,01:22.806,01:24.412,01:21.407,01:25.234
36,01:23.142,01:24.933,01:24.335,01:24.247,01:25.867,01:25.147,01:24.341,01:23.361,01:24.329,01:22.586,01:24.606,,01:24.119,01:21.487,01:21.726,01:24.381,01:22.977,01:24.067,01:21.789,01:25.111
37,01:22.953,01:23.575,01:24.369,01:23.855,01:30.354,01:25.221,01:24.498,01:22.768,01:24.377,01:22.604,01:25.034,,01:23.999,01:21.872,01:21.605,01:27.523,01:22.832,01:24.495,01:21.527,01:26.820
38,01:23.026,01:23.266,01:27.558,01:24.337,01:44.270,01:26.812,01:24.336,01:22.955,01:24.032,01:22.824,01:23.642,,01:23.823,01:21.727,01:22.036,01:25.480,01:22.651,01:24.515,01:21.946,01:25.720
39,01:23.006,01:23.224,01:42.160,01:24.104,01:23.915,01:25.457,01:23.711,01:22.920,01:24.046,01:22.660,01:27.013,,01:23.745,01:22.084,01:22.039,01:26.294,01:22.988,01:24.016,01:22.346,01:32.536
40,01:23.352,01:23.176,01:23.264,01:23.930,01:23.444,01:25.809,01:23.755,01:23.371,01:23.944,01:22.560,01:41.986,,01:23.452,01:21.990,01:21.778,01:24.978,01:22.967,01:23.915,01:21.635,01:44.771
41,01:23.719,01:23.260,01:23.096,01:23.900,01:23.170,01:25.309,01:23.876,01:24.725,01:24.011,01:22.826,01:23.068,,01:23.484,01:21.717,01:21.697,01:24.258,01:23.948,01:23.882,01:22.838,01:23.220
42,01:23.364,01:23.157,01:25.554,01:25.623,01:25.493,01:29.125,01:23.952,01:22.967,01:24.120,01:22.698,01:23.515,,01:23.466,01:22.118,01:25.686,01:24.398,01:23.499,01:23.649,01:22.694,01:22.802
43,01:23.433,01:23.172,01:23.037,01:24.266,01:22.964,01:46.069,01:23.723,01:23.103,01:23.968,01:22.735,01:23.239,,01:23.640,01:21.632,01:39.613,01:26.013,01:23.521,01:23.780,01:22.683,01:23.004
44,01:22.966,01:23.270,01:22.949,01:23.906,01:23.002,01:24.842,01:23.903,01:22.770,01:23.923,01:22.759,01:22.944,,01:23.472,01:21.886,01:20.775,01:24.384,01:22.914,01:23.890,01:22.038,01:23.056
45,01:23.303,01:23.381,01:23.438,01:24.061,01:23.194,01:24.040,01:24.140,01:23.211,01:24.040,01:22.805,01:24.777,,01:23.353,01:21.987,01:20.728,01:24.092,01:23.173,01:25.394,01:22.338,01:23.193
