,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:51.350,01:51.536,01:52.847,01:54.228,01:53.586,01:57.026,01:50.025,01:48.257,01:50.690,01:50.607,01:55.002,01:55.798,01:52.392,01:46.339,01:44.859,01:56.462,01:48.811,01:55.420,01:46.833,01:53.165
2,01:42.492,01:43.526,01:42.974,01:44.439,01:43.743,01:44.607,01:41.402,01:40.612,01:42.370,01:41.749,01:43.047,01:43.228,01:43.919,01:39.613,01:39.625,01:44.178,01:41.546,01:44.277,01:40.188,01:43.587
3,01:41.218,01:41.389,01:41.460,01:42.496,01:42.222,01:42.672,01:41.048,01:40.549,01:40.797,01:40.847,01:41.900,01:42.618,01:41.830,01:39.571,01:39.776,01:42.660,01:41.069,01:43.160,01:39.822,01:42.095
4,01:41.124,01:41.538,01:41.728,01:43.552,01:41.280,01:42.601,01:40.899,01:40.419,01:41.498,01:41.116,01:41.411,01:41.485,01:41.550,01:40.024,01:39.692,01:47.603,01:41.085,01:42.635,01:39.889,01:41.479
5,01:40.531,01:40.540,01:40.534,01:41.738,01:41.507,01:42.001,01:40.313,01:39.998,01:40.733,01:40.393,01:41.613,01:40.996,01:41.021,01:39.408,01:39.549,01:42.872,01:40.342,01:41.532,01:39.293,01:41.075
6,01:40.425,01:40.359,01:40.476,01:41.116,01:40.619,01:41.805,01:40.032,01:39.240,01:40.604,01:40.017,01:40.586,01:40.577,01:40.536,01:38.727,01:38.787,01:42.279,01:39.836,01:41.461,01:38.604,01:40.700
7,01:40.860,01:40.873,01:40.941,01:41.564,01:41.099,01:41.831,01:40.629,01:39.665,01:40.749,01:40.773,01:41.048,01:41.051,01:40.917,01:39.430,01:39.204,01:41.986,01:40.547,01:41.152,01:39.510,01:40.890
8,01:40.850,01:40.685,01:40.590,01:41.284,01:40.594,01:42.003,01:40.547,01:39.072,01:40.907,01:41.148,01:40.751,01:40.724,01:40.817,01:39.059,01:38.763,01:41.310,01:40.621,01:41.407,01:39.229,01:40.877
9,01:40.741,01:40.358,01:40.571,01:41.096,01:42.030,01:41.289,01:40.680,01:39.305,01:40.544,01:40.515,01:40.492,01:41.195,01:40.751,01:39.122,01:39.268,01:41.098,01:40.779,01:41.095,01:39.264,01:40.844
10,01:40.515,01:40.548,01:40.489,01:41.046,01:40.873,01:41.864,01:41.339,01:39.151,01:40.802,01:40.735,01:40.689,01:41.032,01:40.979,01:38.950,01:38.778,01:41.318,01:40.712,01:41.059,01:39.018,01:40.772
11,01:40.862,01:40.420,01:40.720,01:40.615,01:41.208,01:41.579,01:41.002,01:39.303,01:43.221,01:41.078,01:40.632,01:41.060,01:40.829,01:39.214,01:38.977,01:42.069,01:40.798,01:40.784,01:39.290,01:40.821
12,01:40.622,01:40.669,01:41.062,01:40.764,01:41.053,01:41.809,01:41.284,01:39.318,01:41.151,01:41.217,01:40.644,01:41.158,01:40.982,01:39.307,01:39.432,01:42.200,01:41.268,01:40.490,01:40.266,01:40.972
13,01:40.757,01:40.889,01:41.036,01:42.606,01:41.151,01:41.816,01:41.170,01:39.189,01:42.744,01:41.278,01:41.395,01:41.491,01:41.259,01:39.214,01:38.929,01:42.548,01:41.710,01:40.945,01:39.473,01:41.689
14,01:40.424,01:40.995,01:40.691,01:42.057,01:41.244,01:42.379,01:41.219,01:39.370,01:41.370,02:02.349,01:41.047,01:41.649,01:41.429,01:39.015,01:39.160,01:42.549,01:41.293,01:41.678,01:39.406,01:42.464
15,01:41.634,01:41.272,01:41.023,01:42.013,01:41.429,01:43.792,01:41.761,01:40.487,01:41.883,01:42.242,01:41.065,02:01.362,01:41.614,01:40.297,01:39.511,02:03.242,01:41.620,01:41.979,01:39.864,01:41.517
16,02:00.026,01:41.155,01:40.751,01:41.602,01:42.199,01:42.828,01:41.027,01:39.773,01:41.443,01:39.038,01:41.628,01:44.511,01:41.604,01:39.199,01:39.395,01:45.277,01:41.040,01:41.684,01:39.239,01:41.389
17,01:42.037,01:40.294,01:40.620,01:41.350,01:41.546,01:42.600,02:01.423,01:39.364,01:41.145,01:39.286,01:41.131,01:39.686,01:41.133,01:39.246,01:38.926,01:40.379,02:00.880,02:00.045,01:59.129,01:41.510
18,01:39.309,01:39.936,01:40.256,02:00.899,01:41.138,01:41.893,01:41.971,01:39.338,02:01.622,01:39.511,01:40.668,01:38.980,01:40.801,01:58.099,01:39.035,01:39.947,01:42.990,01:41.947,01:40.235,01:40.977
19,01:39.203,01:39.869,01:40.012,01:42.723,01:41.163,01:42.506,01:38.878,01:39.149,01:41.935,01:39.538,01:40.432,01:40.667,01:41.821,01:39.966,01:58.684,01:40.071,01:38.931,01:39.275,01:36.960,01:40.954
20,01:39.372,01:40.503,01:40.007,01:39.754,01:41.318,01:43.532,01:39.434,01:39.520,01:39.372,01:39.771,01:41.167,01:40.627,01:41.649,01:37.776,01:41.873,01:40.997,01:39.593,01:39.867,01:37.514,01:41.425
21,01:39.683,01:40.319,01:40.448,01:39.546,01:41.219,01:41.897,01:40.017,01:39.310,01:39.278,01:40.259,01:40.893,01:39.629,01:41.387,01:37.516,01:37.480,01:41.231,01:39.751,01:39.862,01:37.377,01:41.178
22,01:41.066,01:39.912,01:40.008,01:40.102,01:42.572,01:41.800,01:40.019,01:39.698,01:39.378,01:40.024,01:40.617,01:39.895,01:41.386,01:37.052,01:37.551,01:41.243,01:40.295,01:39.744,01:37.922,01:40.968
23,01:40.251,01:40.393,01:40.134,01:40.581,01:43.560,01:42.412,01:41.144,01:39.100,01:39.951,01:40.061,01:40.710,01:39.615,01:40.920,01:38.086,01:37.702,01:41.200,01:41.280,01:39.877,01:37.642,01:41.855
24,01:40.011,02:00.360,01:40.315,01:41.257,01:41.313,01:42.032,01:39.930,01:58.410,01:39.644,01:40.147,01:40.480,01:39.911,01:40.995,01:37.915,01:37.786,01:41.366,01:39.971,01:40.537,01:37.799,01:41.701
25,01:39.909,01:43.254,01:40.275,01:40.380,01:40.980,01:41.332,01:40.126,01:41.545,01:39.894,01:40.324,01:40.569,01:40.019,01:40.981,01:37.706,01:37.947,01:40.992,01:40.117,01:40.427,01:39.013,01:42.644
26,01:41.135,01:38.660,01:40.295,01:40.253,01:41.609,01:41.914,01:40.414,01:37.404,01:39.824,01:40.997,01:40.431,01:39.785,01:42.701,01:38.278,01:37.905,01:40.736,01:40.381,01:39.787,01:38.071,01:41.381
27,01:40.073,01:38.257,01:39.808,01:40.439,01:41.201,01:41.268,01:40.197,01:37.229,01:38.842,01:40.458,01:39.784,01:39.782,01:43.355,01:37.727,01:37.979,01:41.137,01:40.212,01:39.522,01:38.291,02:01.408
28,01:39.187,01:40.829,01:43.439,01:41.369,01:41.337,01:41.417,01:40.760,01:37.674,01:40.018,01:41.931,01:40.563,01:40.467,02:00.943,01:37.657,01:37.712,01:41.566,01:40.192,01:40.281,01:38.629,01:43.020
29,01:39.697,01:39.322,01:40.288,01:40.932,01:40.847,01:41.808,01:40.839,01:38.056,01:39.534,01:42.017,01:40.352,01:40.040,01:43.459,01:38.040,01:38.457,01:47.121,01:39.859,01:39.900,01:38.713,01:39.571
30,01:39.663,01:39.289,01:40.142,01:41.019,01:41.473,01:41.792,01:39.839,01:37.917,01:40.623,01:42.483,01:40.301,01:40.656,01:39.876,01:37.833,01:38.226,01:40.625,01:39.878,01:39.961,01:38.982,01:39.921
31,01:39.510,01:38.263,01:40.880,01:41.448,01:41.073,02:01.696,01:39.851,01:38.280,01:39.902,01:41.553,01:40.243,01:40.083,01:38.995,01:37.844,01:38.503,01:40.354,01:40.693,01:39.898,01:38.831,01:39.473
32,01:39.037,01:38.281,01:40.619,01:41.247,01:41.973,01:46.710,01:39.257,01:37.801,01:39.502,01:40.960,01:40.103,01:41.013,01:38.808,01:56.764,01:38.392,01:40.750,01:39.676,01:40.418,01:38.346,01:39.253
33,01:39.398,01:37.485,01:40.019,01:40.459,02:02.988,01:39.904,01:39.119,01:38.075,01:38.918,01:40.012,01:39.699,01:40.122,01:38.645,01:40.458,01:38.429,01:43.647,01:39.169,01:39.553,01:37.702,01:39.029
34,01:39.284,01:38.019,01:39.509,01:40.051,01:40.906,01:39.317,01:39.334,01:37.827,01:38.554,01:39.967,02:00.727,01:39.669,01:38.961,01:36.743,01:38.666,01:39.913,01:39.542,01:40.397,01:38.392,01:39.194
35,01:38.852,01:38.760,01:39.398,01:40.161,01:38.368,01:39.574,01:39.598,01:39.396,01:38.716,01:40.273,01:42.250,01:39.459,01:38.689,01:36.404,01:38.411,01:40.081,01:39.673,01:39.650,01:38.111,01:38.702
36,01:39.165,01:38.629,01:39.595,01:40.027,01:40.902,01:39.691,01:39.638,01:37.886,01:40.008,01:39.358,01:39.132,01:39.109,01:38.894,01:36.579,01:38.565,01:39.887,01:41.853,01:39.776,01:38.188,01:38.999
37,01:39.217,01:38.607,01:59.971,01:39.788,01:38.441,01:39.589,01:39.242,01:37.395,01:39.064,01:39.526,01:39.205,01:39.476,01:38.995,01:36.582,01:39.137,01:40.204,01:41.578,01:39.721,01:37.862,01:39.007
38,01:39.431,01:38.430,01:42.044,01:41.621,01:38.631,01:40.043,01:38.962,01:37.154,01:38.981,01:59.965,01:38.718,01:39.720,01:39.377,01:36.863,01:37.650,01:40.278,01:39.884,01:39.340,01:38.016,01:39.297
39,01:39.117,01:38.508,01:38.488,01:41.949,01:39.131,01:40.232,01:38.933,01:37.239,01:39.412,01:41.981,01:38.727,01:39.882,01:39.509,01:36.973,01:37.458,01:39.999,01:39.491,01:40.866,01:38.724,01:39.051
40,01:39.150,01:38.552,01:38.498,01:41.468,01:40.052,01:39.849,01:38.783,01:37.355,01:39.203,01:37.947,01:39.219,01:39.474,01:39.409,01:37.033,01:38.182,01:39.513,01:39.786,01:40.103,01:38.247,01:39.050
41,01:39.066,01:39.110,01:38.427,01:40.984,01:38.406,01:40.155,01:38.561,01:37.351,01:38.463,01:37.796,01:38.560,01:39.372,01:39.101,01:37.081,01:37.685,01:40.356,01:39.572,01:39.419,01:37.612,01:39.051
42,01:38.608,01:38.536,01:37.967,01:38.971,01:38.117,01:40.101,01:38.446,01:37.332,01:38.633,01:37.898,01:38.376,01:40.610,01:39.353,01:36.849,01:37.818,01:39.784,01:39.194,01:39.467,01:39.479,01:40.508
43,01:38.717,01:38.715,01:37.880,01:38.752,01:39.962,01:39.888,01:38.190,01:37.129,01:37.783,01:37.681,01:38.580,01:39.625,01:39.051,01:37.092,01:37.640,01:39.741,01:38.966,01:39.544,01:39.073,01:39.648
