,3,4,5,6,7,9,10,14,22,31,33,44,47,55,63,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Fernando Alonso,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Antonio Giovinazzi
1,02:22.328,02:22.425,02:01.406,02:06.501,02:10.748,02:17.794,02:15.203,02:08.062,02:05.307,01:59.634,02:10.591,01:58.069,02:13.440,02:03.261,02:09.639,02:42.558
2,02:58.411,03:06.733,02:51.410,02:54.068,03:00.622,03:09.487,03:01.679,02:56.381,02:52.817,02:49.656,03:14.104,02:49.020,03:00.155,02:51.406,02:58.569,02:52.852
3,26:12.243,,26:27.952,26:22.876,26:19.497,26:08.592,26:15.476,26:25.290,26:24.517,26:30.847,26:09.129,26:46.873,26:18.155,26:27.127,26:21.971,26:01.610
4,01:59.686,,02:03.935,02:04.546,02:00.984,,02:02.870,02:00.505,02:06.065,02:03.712,02:00.218,01:49.712,02:01.816,02:07.453,02:01.055,02:00.644
5,01:27.257,,01:24.897,01:25.975,01:27.155,,01:26.653,01:26.338,01:26.207,01:24.575,01:27.173,01:43.232,01:27.211,01:26.393,01:26.873,01:25.801
6,01:26.203,,01:24.399,01:25.819,01:25.887,,01:26.384,01:25.864,01:25.952,01:24.374,01:26.414,01:23.637,01:26.235,01:26.146,01:25.940,01:25.923
7,01:25.891,,01:24.579,01:25.199,01:25.980,,01:26.276,01:25.836,01:25.144,01:24.159,01:26.066,01:25.597,01:26.121,01:25.023,01:25.767,01:26.093
8,01:25.704,,01:24.228,01:24.574,01:25.481,,01:25.754,01:24.946,01:24.377,01:24.384,01:25.854,01:25.736,01:25.735,01:24.752,01:25.310,01:25.872
9,01:25.213,,01:24.083,01:24.508,01:25.062,,01:25.731,01:25.068,01:24.413,01:24.056,01:25.907,01:25.710,01:25.977,01:24.837,01:25.273,01:25.892
10,01:24.994,,01:23.808,01:24.460,01:25.605,,01:26.105,01:25.262,01:25.050,01:24.104,01:25.806,01:24.966,01:25.551,01:24.878,01:25.432,01:26.656
11,01:25.491,,01:24.021,01:24.611,01:25.145,,01:25.184,01:25.345,01:24.721,01:23.983,01:25.387,01:25.237,01:25.490,01:24.726,01:25.192,01:28.208
12,01:25.180,,01:23.827,01:24.543,01:25.162,,01:25.555,01:25.071,01:24.576,01:23.907,01:25.469,01:25.421,01:25.395,01:24.723,01:25.096,01:50.025
13,01:25.182,,01:23.945,01:24.636,01:25.628,,01:25.194,01:25.799,01:24.652,01:23.822,01:25.143,01:25.255,01:25.491,01:24.731,01:25.602,01:23.988
14,01:25.510,,01:23.982,01:24.329,01:25.169,,01:26.554,01:24.320,01:24.472,01:24.046,01:25.041,01:26.772,01:27.278,01:24.623,01:25.031,01:24.412
15,01:25.057,,01:24.118,01:24.399,01:27.487,,01:23.889,01:24.282,01:24.428,01:24.129,01:24.479,01:25.614,01:26.620,01:24.379,01:24.681,01:24.297
16,01:23.913,,01:24.133,01:24.297,01:56.162,,01:23.936,01:24.180,01:24.166,01:24.091,01:23.832,01:23.219,01:26.520,01:24.360,01:24.493,01:24.632
17,01:24.088,,01:23.715,01:24.455,01:23.333,,01:23.776,01:23.962,01:24.597,01:24.113,01:24.135,01:23.432,01:25.428,01:24.241,01:24.645,01:24.355
18,01:24.471,,01:23.792,01:24.340,01:23.243,,01:24.116,01:24.083,01:24.219,01:23.696,01:24.271,01:23.596,01:25.793,01:24.549,01:24.768,01:26.540
19,01:24.947,,01:23.880,01:24.555,01:23.165,,01:24.401,01:24.493,01:24.762,01:23.582,01:24.322,01:26.667,01:25.268,01:24.520,01:25.027,01:24.235
20,01:27.130,,01:23.887,01:24.797,01:23.733,,01:24.441,01:23.877,01:24.677,01:23.902,01:27.006,01:39.467,01:25.245,01:24.558,01:24.870,01:24.120
