,3,4,5,6,9,10,11,14,16,18,31,33,44,47,55,63,77,88,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Robert Kubica,Antonio Giovinazzi
1,01:37.656,01:41.695,01:58.083,01:56.194,02:01.117,02:02.171,01:55.352,01:53.420,01:48.161,01:51.426,01:54.990,01:39.532,01:45.494,02:00.963,01:49.405,01:58.146,02:01.031,02:00.167,02:09.159
2,01:30.745,01:30.131,01:27.568,01:27.106,01:29.945,01:29.005,01:27.606,01:27.173,01:27.990,01:27.987,01:27.158,01:30.125,01:27.866,01:29.313,01:27.898,01:29.102,01:28.071,01:28.892,02:00.859
3,01:26.326,01:26.073,01:27.408,01:27.110,01:28.699,01:49.173,01:26.741,01:27.688,01:26.073,01:26.738,01:27.577,01:25.808,01:25.870,01:28.636,01:26.611,01:27.675,01:26.545,01:28.736,01:27.123
4,01:26.313,01:26.728,01:27.224,01:27.643,01:28.045,,01:27.002,01:27.750,01:26.580,01:27.427,01:27.472,01:26.395,01:26.252,01:28.038,01:27.168,01:28.159,01:27.601,01:27.546,01:26.850
5,01:26.410,01:26.309,01:27.137,01:27.580,01:28.487,,01:27.049,01:27.418,01:26.473,01:27.249,01:27.462,01:26.377,01:26.026,01:28.092,01:26.803,01:28.164,01:26.378,01:28.040,01:26.959
6,01:26.419,01:26.526,01:26.954,01:27.493,01:28.302,,01:27.019,01:27.745,01:26.493,01:27.483,01:27.752,01:26.341,01:26.778,01:28.443,01:26.985,01:27.338,01:26.180,01:27.829,01:27.037
7,01:26.473,01:26.784,01:27.462,01:27.804,01:28.416,,01:26.971,01:27.629,01:26.765,01:27.567,01:29.329,01:27.159,01:26.846,01:28.429,01:27.192,01:27.123,01:26.771,01:28.115,01:26.925
8,01:26.789,01:26.466,01:28.442,01:27.826,01:28.626,,01:26.823,01:27.727,01:26.613,01:27.621,01:28.031,01:26.333,01:26.413,01:28.469,01:26.990,01:27.227,01:28.351,01:27.733,01:27.023
9,01:26.440,01:26.548,01:28.995,01:27.411,01:28.608,,01:27.595,01:27.840,01:26.506,01:27.566,01:27.525,01:26.531,01:26.595,01:28.453,01:29.642,01:27.794,01:26.988,01:28.044,01:27.091
10,01:26.723,01:26.690,01:27.750,01:27.663,01:28.631,,01:26.623,01:27.749,01:26.585,01:27.659,01:27.750,01:26.499,01:26.497,01:28.694,01:27.675,01:27.757,01:27.445,01:27.977,01:27.395
11,01:26.529,01:26.663,01:27.448,01:27.694,01:28.729,,01:26.322,01:27.520,01:26.543,01:27.694,01:28.496,01:26.668,01:26.368,01:28.822,01:27.447,01:27.900,01:26.700,01:27.996,01:27.235
12,01:26.705,01:27.304,01:27.610,01:27.716,01:28.356,,01:26.387,01:27.407,01:26.622,01:27.729,01:27.714,01:26.741,01:27.390,01:28.593,01:27.380,01:27.750,01:27.456,01:27.774,01:27.269
13,01:26.506,01:27.323,01:27.545,01:28.852,01:29.021,,01:26.529,01:27.299,01:26.652,01:27.630,01:27.853,01:26.443,01:27.440,01:28.597,01:27.014,01:27.778,01:26.596,01:27.751,01:27.115
14,01:26.391,01:27.132,01:27.585,01:27.705,01:29.258,,01:26.536,01:27.319,01:27.043,01:27.590,01:27.745,01:26.691,01:27.472,01:28.893,01:27.008,01:27.674,01:26.871,01:27.905,01:26.945
15,01:26.666,01:26.681,01:28.807,01:27.829,01:29.063,,01:26.499,01:27.359,01:27.301,01:27.465,01:28.094,01:26.309,01:26.757,01:28.927,01:27.003,01:28.048,01:26.951,01:27.685,01:27.100
16,01:26.628,01:26.497,01:27.847,01:27.624,01:28.859,,01:26.946,01:27.369,01:27.194,01:27.354,01:27.422,01:26.702,01:26.580,01:28.723,01:26.898,01:27.740,01:26.964,01:27.583,01:27.007
17,01:26.565,01:26.917,01:27.730,01:27.768,01:29.038,,01:26.855,01:28.781,01:26.985,01:27.452,01:27.617,01:26.777,01:27.010,01:28.884,01:26.954,01:28.035,01:26.777,01:27.806,01:27.063
18,01:26.917,01:26.943,01:27.523,01:27.707,01:28.796,,01:26.880,01:27.743,01:26.993,01:27.305,01:27.691,01:26.780,01:26.778,01:28.873,01:27.055,01:27.919,01:26.631,01:27.447,01:26.937
19,01:26.825,01:26.635,01:27.495,01:27.534,01:29.058,,01:26.859,01:27.347,01:26.643,01:27.254,01:27.463,01:26.812,01:26.826,01:29.082,01:27.012,01:27.648,01:26.664,01:27.876,01:26.884
20,01:27.061,01:26.664,01:27.761,01:27.858,01:29.063,,01:26.882,01:27.299,01:26.964,01:27.186,01:27.877,01:27.125,01:26.609,01:29.252,01:27.314,01:27.818,01:27.056,01:28.013,01:27.379
21,01:27.335,01:27.153,01:27.768,01:28.021,01:29.008,,01:27.377,01:27.756,01:27.415,01:28.104,01:28.146,01:27.708,01:26.952,01:29.092,01:27.778,01:28.154,01:28.008,01:27.969,01:27.300
22,01:32.063,01:27.151,01:32.328,01:27.688,01:29.328,,01:27.679,01:27.710,01:27.285,01:28.861,01:28.065,01:27.466,01:26.943,01:29.146,01:27.575,01:27.530,01:26.438,01:28.079,01:27.283
23,01:45.539,01:27.131,01:49.176,01:32.043,01:29.550,,01:26.919,01:27.838,01:27.224,01:27.615,01:28.037,01:31.184,01:27.032,01:33.142,01:27.458,01:27.456,01:26.638,01:27.965,01:27.347
24,01:26.037,01:32.641,01:27.095,01:46.192,01:33.767,,01:27.257,01:28.781,01:27.353,01:27.541,01:27.558,01:54.069,01:26.586,01:47.809,01:27.406,01:27.709,01:26.248,01:28.065,01:27.438
25,01:26.021,01:46.151,01:26.850,01:26.391,02:01.885,,01:27.273,01:32.110,01:27.225,01:31.605,01:27.603,01:25.173,01:30.855,01:38.030,01:29.071,01:27.495,01:26.821,01:27.614,01:36.621
26,01:44.051,01:47.030,02:01.789,01:57.024,01:56.859,,01:45.619,02:14.490,01:44.442,02:14.773,01:55.315,,,01:57.282,01:49.421,01:55.947,01:50.032,01:58.104,02:18.111
27,02:33.470,02:25.123,02:15.317,01:59.303,01:42.886,,02:44.484,01:59.084,02:44.572,01:59.612,02:22.102,,,01:44.490,02:31.631,02:15.424,02:30.848,02:14.609,01:44.550
