,3,4,5,6,7,9,10,11,14,16,18,31,33,44,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Esteban Ocon,Max Verstappen,Lewis Hamilton,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,02:09.523,02:09.119,01:55.910,02:05.882,02:00.645,02:02.852,01:49.377,01:47.610,02:04.519,01:50.713,02:10.437,02:07.654,01:44.815,01:46.593,01:54.373,01:58.711,02:14.035,01:53.070
2,02:20.003,02:14.433,02:13.316,02:13.925,02:14.411,02:13.765,02:11.585,02:11.575,02:12.938,02:13.504,02:15.768,02:13.064,02:11.572,02:11.403,02:13.559,02:13.014,02:13.728,02:12.779
3,02:05.648,02:06.894,02:06.686,02:05.761,02:05.873,02:06.290,02:06.479,02:06.355,02:06.512,02:04.991,02:05.936,02:07.141,02:06.284,02:06.513,02:05.714,02:06.834,02:06.091,02:04.534
4,01:45.850,01:48.618,01:58.774,01:52.508,01:55.263,01:54.272,02:04.978,02:06.308,01:53.425,02:03.704,01:47.715,01:50.590,02:07.504,02:06.587,02:00.360,01:56.793,01:46.596,02:03.307
5,01:27.140,01:25.845,01:24.876,01:26.310,01:25.077,01:26.483,01:23.821,01:23.185,01:24.482,01:24.225,01:27.590,01:27.509,01:21.615,01:22.545,01:24.284,01:25.168,01:28.582,01:25.306
6,01:24.569,01:24.996,01:24.189,01:24.715,01:24.580,01:24.468,01:22.924,01:22.356,01:24.699,01:23.510,01:24.541,01:25.211,01:21.635,01:22.254,01:23.305,01:24.655,01:24.490,01:24.034
7,01:24.572,01:25.009,01:23.551,01:25.014,01:24.734,01:24.794,01:22.552,01:22.330,01:25.095,01:23.144,01:24.502,01:24.674,01:21.622,01:21.947,01:23.353,01:24.642,01:24.597,01:23.690
8,01:24.297,01:24.583,01:23.723,01:24.823,01:24.489,01:24.931,01:22.722,01:21.954,01:24.180,01:23.369,01:24.452,01:24.549,01:21.520,01:21.735,01:23.169,01:24.636,01:24.159,01:23.404
9,01:25.057,01:23.954,01:22.929,01:25.663,01:22.933,01:24.575,01:22.245,01:21.766,01:24.340,01:22.526,01:25.146,01:24.895,01:21.051,01:21.520,01:22.871,01:25.250,01:24.930,01:23.016
10,01:25.806,01:24.142,01:23.035,01:26.788,01:22.952,01:24.640,01:22.099,01:21.687,01:23.512,01:22.402,01:25.822,01:24.541,01:21.144,01:21.105,01:22.975,01:25.817,01:25.882,01:23.049
11,01:25.721,01:23.465,01:23.254,01:29.274,01:23.312,01:26.125,01:21.772,01:21.389,01:23.340,01:22.200,01:24.014,01:23.940,01:20.958,01:21.141,01:22.544,01:24.091,01:25.858,01:23.015
12,01:23.725,01:23.464,01:23.113,01:42.777,01:23.179,01:27.389,01:22.282,01:21.464,01:23.128,01:22.288,01:27.984,01:24.551,01:21.014,01:21.261,01:22.513,01:23.775,01:24.191,01:23.012
