,3,4,5,6,7,9,10,11,14,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:33.662,01:25.729,01:28.935,01:36.040,01:33.051,01:38.076,01:26.902,01:29.638,01:34.069,01:31.448,01:36.731,01:30.963,01:21.986,01:27.982,01:37.443,01:24.727,01:34.901,01:23.015,01:30.113
2,01:21.326,01:18.426,01:19.731,01:21.526,01:20.858,01:21.965,01:18.737,01:19.594,01:21.498,01:20.334,01:21.852,01:20.154,01:17.480,01:18.742,01:22.045,01:17.929,01:21.405,01:17.613,01:19.695
3,01:19.874,01:17.634,01:18.778,01:20.126,01:19.846,01:20.730,01:17.821,01:18.532,01:20.548,01:19.437,01:19.829,01:19.421,01:17.298,01:18.240,01:20.586,01:17.320,01:20.458,01:17.329,01:19.070
4,01:19.801,01:17.772,01:18.133,01:20.175,01:19.102,01:19.805,01:18.060,01:18.164,01:20.121,01:18.644,01:20.526,01:18.494,01:17.237,01:17.936,01:19.930,01:18.028,01:20.091,01:17.154,01:18.340
5,01:19.588,01:17.864,01:17.921,01:19.516,01:18.913,01:19.598,01:17.909,01:18.945,01:19.757,01:18.626,01:19.373,01:18.546,01:16.892,01:18.221,01:19.362,01:17.304,01:19.608,01:17.236,01:18.636
6,01:19.103,01:17.048,01:17.992,01:19.611,01:18.511,01:19.839,01:17.393,01:18.401,01:18.825,01:18.497,01:19.498,01:18.526,01:17.147,01:17.448,01:19.782,01:16.988,01:19.391,01:16.863,01:18.640
7,01:18.304,01:17.195,01:17.872,01:18.950,01:18.927,01:19.535,01:17.204,01:18.241,01:18.738,01:18.748,01:19.193,01:18.572,01:16.722,01:17.205,01:19.247,01:16.736,01:18.730,01:17.082,01:18.244
8,01:18.441,01:16.655,01:17.805,01:18.494,01:18.716,01:19.281,01:16.838,01:18.337,01:18.254,01:18.398,01:18.427,01:17.967,01:17.120,01:17.009,01:19.041,01:16.687,01:18.627,01:16.751,01:17.977
9,01:18.385,01:17.027,01:17.825,01:18.804,01:18.490,01:18.932,01:17.055,01:17.771,01:18.904,01:18.477,01:18.590,01:18.380,01:16.910,01:16.779,01:19.004,01:16.672,01:18.977,01:16.961,01:18.402
10,01:18.886,01:17.190,01:17.416,01:18.717,01:18.262,01:18.872,01:17.182,01:17.474,01:18.147,01:18.226,01:19.119,01:18.298,01:16.944,01:16.869,01:18.672,01:16.747,01:18.523,01:17.012,01:17.873
11,01:18.625,01:16.601,01:17.599,01:18.558,01:18.193,01:19.018,01:16.798,01:17.102,01:18.778,01:17.902,01:18.483,01:17.770,01:16.265,01:16.698,01:18.575,01:16.748,01:18.339,01:16.575,01:17.363
12,01:17.959,01:16.560,01:16.702,01:18.874,01:18.310,01:18.904,01:16.414,01:15.949,01:18.414,01:17.682,01:18.848,01:17.677,01:16.339,01:16.667,01:18.674,01:16.445,01:18.469,01:16.540,01:17.088
13,01:17.624,01:16.500,01:16.555,01:18.998,01:17.445,01:19.287,01:16.897,01:15.881,01:17.807,01:17.300,01:18.490,01:17.253,01:15.954,01:17.070,01:18.992,01:16.524,01:18.641,01:16.040,01:17.175
14,01:17.387,01:16.302,01:16.286,01:17.617,01:17.969,01:19.422,01:16.331,01:16.420,01:17.529,01:16.833,01:18.420,01:16.820,01:16.305,01:16.555,01:18.579,01:15.926,01:18.211,01:16.028,01:16.860
15,01:17.227,01:16.074,01:15.885,01:18.328,01:17.629,01:18.949,01:16.128,01:16.497,01:17.803,01:16.843,01:17.681,01:16.810,01:15.818,01:16.262,01:18.294,01:16.080,01:18.540,01:15.974,01:16.974
16,01:17.614,01:16.094,01:15.868,01:18.433,01:17.283,01:18.804,01:16.138,01:16.338,01:17.840,01:16.518,01:18.444,01:16.876,01:15.760,01:16.152,01:18.751,01:15.917,01:18.444,01:16.275,01:17.037
17,01:17.049,01:15.965,01:16.028,01:18.460,01:17.064,01:19.249,01:16.058,01:16.118,01:17.414,01:17.166,01:18.490,01:16.572,01:15.990,01:16.033,01:18.580,01:16.021,01:18.435,01:15.914,01:16.540
18,01:17.092,01:16.602,01:16.072,01:18.299,01:17.241,01:19.163,01:16.151,01:15.638,01:17.636,01:17.596,01:18.829,01:16.416,01:15.917,01:15.854,01:18.621,01:15.957,01:18.162,01:15.706,01:16.727
19,01:17.204,01:16.135,01:15.919,01:17.966,01:17.221,01:18.674,01:17.309,01:16.084,01:17.810,01:17.613,01:18.093,01:16.754,01:15.655,01:16.485,01:18.909,01:15.766,01:18.101,01:15.908,01:16.588
20,01:17.704,01:15.812,01:16.019,01:18.132,01:17.055,01:18.862,01:16.087,01:15.827,01:18.000,01:17.259,01:17.842,01:16.598,01:16.084,01:16.800,01:18.533,01:15.925,01:18.238,01:16.335,01:16.468
21,01:17.945,01:15.800,01:15.997,01:18.305,01:17.581,01:19.110,01:15.925,01:16.528,01:17.823,01:16.994,01:18.325,01:16.543,01:16.184,01:16.395,01:18.533,01:16.236,01:18.060,01:16.600,01:16.718
22,01:17.708,01:16.284,01:16.006,01:18.373,01:17.306,01:20.825,01:16.055,01:15.843,01:17.805,01:16.731,01:18.374,01:16.670,01:16.144,01:16.017,01:18.759,01:16.158,01:18.111,01:16.471,01:16.758
23,01:17.669,01:16.128,01:16.160,01:18.035,01:17.390,01:22.077,01:16.355,01:16.190,01:17.864,01:16.630,01:18.080,01:16.656,01:16.272,01:16.096,01:18.495,01:16.751,01:18.206,01:16.641,01:16.853
24,01:17.260,01:16.653,01:16.143,01:18.051,01:16.708,01:24.946,01:16.060,01:16.093,01:17.891,01:16.671,01:17.989,01:17.295,01:16.244,01:16.343,01:20.781,01:17.060,01:17.866,01:17.198,01:17.263
25,01:17.125,01:16.965,01:16.317,01:18.140,01:17.425,01:22.756,01:17.135,01:15.856,01:17.244,01:16.671,01:17.867,01:17.343,01:16.531,01:16.636,01:22.457,01:16.693,01:18.106,01:16.543,01:16.826
26,01:17.165,01:16.636,01:16.926,01:18.014,01:17.073,01:19.064,01:16.576,01:16.715,01:17.808,01:16.452,01:18.251,01:16.519,01:16.322,01:16.497,01:23.437,01:16.889,01:18.189,01:16.687,01:17.056
27,01:17.436,01:17.020,01:16.330,01:17.989,01:16.902,01:18.695,01:17.134,01:16.327,01:17.414,01:16.546,01:18.051,01:16.850,01:16.000,01:16.622,01:29.167,01:16.237,01:18.226,01:16.247,01:17.136
28,01:17.460,01:17.635,01:16.636,01:18.447,01:17.098,01:19.503,01:16.701,01:16.719,01:17.189,01:16.383,01:20.396,01:17.158,01:15.981,01:17.044,01:27.965,01:16.153,01:18.581,01:16.034,01:17.500
