,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:34.197,01:29.671,01:31.907,01:35.546,01:33.673,01:41.628,01:31.557,01:29.236,01:34.254,01:30.736,01:35.093,01:34.845,01:30.419,01:26.704,01:25.806,01:36.319,01:28.400,01:32.993,01:24.937,01:33.594
2,01:57.399,01:50.559,01:55.328,02:04.268,,02:05.966,01:53.555,01:49.102,02:01.115,01:52.693,02:03.386,02:02.598,01:51.644,01:48.275,01:48.207,02:04.418,01:48.928,01:55.043,01:46.875,01:56.382
3,02:20.615,02:20.721,02:21.344,02:19.257,,02:19.735,02:21.094,02:21.727,02:18.877,02:21.183,02:19.146,02:18.773,02:20.679,02:22.886,02:22.624,02:19.654,02:21.456,02:21.091,02:22.684,02:20.500
4,02:15.357,02:16.431,02:14.734,02:14.617,,02:14.713,02:15.417,02:15.249,02:14.695,02:15.461,02:14.788,02:14.118,02:15.969,02:15.089,02:15.225,02:14.524,02:15.694,02:16.210,02:15.331,02:16.084
5,02:00.170,01:59.045,01:59.153,01:59.142,,01:59.345,01:59.657,02:00.471,01:59.449,01:59.844,01:59.384,01:59.327,01:59.763,02:00.539,02:00.710,01:59.120,02:00.239,01:58.410,02:01.394,01:59.148
6,01:57.052,02:06.693,02:01.334,01:52.859,,01:49.925,02:02.385,02:07.092,01:56.696,02:03.588,01:53.738,01:55.641,02:04.853,02:08.636,02:09.497,01:52.051,02:07.910,02:00.333,02:10.372,01:58.593
7,01:29.179,01:25.872,01:29.776,01:30.495,,01:30.713,01:29.412,01:27.113,01:29.727,01:28.143,01:29.630,01:30.408,01:28.838,01:24.011,01:24.750,01:30.986,01:28.275,01:30.785,01:23.550,01:30.183
8,01:25.874,01:23.620,01:25.728,01:28.044,,01:28.577,01:25.171,01:23.889,01:26.294,01:24.648,01:26.869,01:27.950,01:25.104,01:23.166,01:23.033,01:27.895,01:24.329,01:28.129,01:23.478,01:26.190
9,01:24.692,01:23.949,01:24.312,01:26.480,,01:26.618,01:24.424,01:23.873,01:25.089,01:24.464,01:25.334,01:25.708,01:24.470,01:23.146,01:23.551,01:26.441,01:24.439,01:25.656,01:23.281,01:24.836
10,01:24.141,01:23.846,01:24.366,01:25.681,,01:26.189,01:24.390,01:23.738,01:24.323,01:24.224,01:24.433,01:24.972,01:24.382,01:23.631,01:23.044,01:25.882,01:24.000,01:25.258,01:23.112,01:24.410
11,01:24.249,01:23.815,01:24.142,01:25.093,,01:25.795,01:23.988,01:23.736,01:24.396,01:23.830,01:24.265,01:24.489,01:23.929,01:24.704,01:23.151,01:25.244,01:24.012,01:24.311,01:23.619,01:24.252
12,01:24.307,01:23.320,01:23.918,01:24.547,,01:25.308,01:23.881,01:23.449,01:24.204,01:23.554,01:24.102,01:24.467,01:23.923,01:22.568,01:22.283,01:24.628,01:23.196,01:24.464,01:22.591,01:24.155
13,01:24.203,01:23.419,01:24.112,01:25.209,,01:25.741,01:23.721,01:23.347,01:24.308,01:23.760,01:24.447,01:24.635,01:23.721,01:22.928,01:23.076,01:25.425,01:23.654,01:24.804,01:22.840,01:24.248
14,01:24.155,01:24.001,01:24.121,01:25.374,,01:25.716,01:23.956,01:23.618,01:24.021,01:23.793,01:24.530,01:24.568,01:23.874,01:23.037,01:22.618,01:24.943,01:23.984,01:26.035,01:22.858,01:24.202
15,01:23.804,01:25.958,01:23.891,01:24.903,,01:25.301,01:23.946,01:24.019,01:24.372,01:23.854,01:24.057,01:23.683,01:23.792,01:22.737,01:22.923,01:24.966,01:23.958,01:25.153,01:22.926,01:24.405
16,01:23.495,01:23.732,01:24.070,01:24.979,,01:25.604,01:23.975,01:23.039,01:24.120,01:23.823,01:24.063,01:23.869,01:23.790,01:22.616,01:22.656,01:25.456,01:23.727,01:24.857,01:22.553,01:23.580
17,01:23.661,01:23.771,01:23.876,01:24.945,,01:25.436,01:23.826,01:22.998,01:23.708,01:23.882,01:23.732,01:23.901,01:23.854,01:23.118,01:23.117,01:25.235,01:23.792,01:24.039,01:22.887,01:23.709
18,01:23.236,01:23.636,01:24.730,01:24.854,,01:25.303,01:23.593,01:22.735,01:23.733,01:23.742,01:24.018,01:24.059,01:23.800,01:22.610,01:22.722,01:25.481,01:23.565,01:24.396,01:22.889,01:23.859
19,01:23.949,01:23.630,01:23.919,01:24.913,,01:25.062,01:23.861,01:22.957,01:23.791,01:24.114,01:23.890,01:24.098,01:23.883,01:22.581,01:22.730,01:25.130,01:23.645,01:24.653,01:23.009,01:23.808
20,01:24.133,01:23.482,01:24.167,01:25.087,,01:25.261,01:23.809,01:23.004,01:23.854,01:24.017,01:23.985,01:24.116,01:24.043,01:23.617,01:23.119,01:25.067,01:23.652,01:24.981,01:24.735,01:23.921
21,01:23.864,01:23.834,01:24.216,01:25.287,,01:25.141,01:23.715,01:23.478,01:23.901,01:23.919,01:23.999,01:27.958,01:23.723,01:23.453,01:23.012,01:25.072,01:27.310,01:25.081,01:23.348,01:23.929
22,01:23.780,01:26.873,01:27.464,01:24.874,,01:25.530,01:23.727,01:22.697,01:23.829,01:23.532,01:24.016,01:46.767,01:27.289,01:22.982,01:22.621,01:24.771,01:44.248,01:25.232,01:22.923,01:27.987
23,01:23.331,01:45.535,01:45.256,01:25.298,,01:26.993,01:23.316,01:22.821,01:22.742,01:23.453,01:23.875,01:24.159,01:47.211,01:22.550,01:22.400,01:25.630,01:23.651,01:26.964,01:22.602,01:47.209
24,01:23.635,01:23.087,01:23.767,01:29.320,,01:25.340,01:27.557,01:22.761,01:23.811,01:23.432,01:23.963,01:23.760,01:24.722,01:22.813,01:22.487,01:24.810,01:24.005,01:25.109,01:22.633,01:23.513
25,01:23.452,01:23.432,01:23.735,01:46.805,,01:25.226,01:45.515,01:22.981,01:23.129,01:27.314,01:23.826,01:23.832,01:22.777,01:22.448,01:22.333,01:26.159,01:23.072,01:25.027,01:22.438,01:23.310
26,01:23.308,01:23.222,01:23.341,01:25.623,,01:24.655,01:22.878,01:22.486,01:23.213,01:45.763,01:23.444,01:23.858,01:23.371,01:22.190,01:22.138,01:24.389,01:23.436,01:27.167,01:22.438,01:24.113
27,01:23.365,01:23.298,01:23.697,01:26.374,,01:25.050,01:23.010,01:22.767,01:23.135,01:22.811,01:23.766,01:24.605,01:22.806,01:22.596,01:22.580,01:25.493,01:23.722,01:26.045,01:22.566,01:23.567
28,01:23.365,01:23.208,01:23.977,01:23.728,,01:26.320,01:22.999,01:22.433,01:23.104,01:23.048,01:23.418,01:23.977,01:22.997,01:22.534,01:21.995,01:24.687,01:23.546,01:28.745,01:22.542,01:24.159
29,01:23.239,01:23.358,01:23.568,01:24.858,,01:25.133,01:23.327,01:22.459,01:23.275,01:22.888,01:23.363,01:24.106,01:23.030,01:22.253,01:22.083,01:23.993,01:23.452,01:46.954,01:22.179,01:23.132
30,01:22.981,01:23.091,01:23.439,01:24.292,,01:24.468,01:23.003,01:22.318,01:23.028,01:22.681,01:23.209,01:23.719,01:22.922,01:22.293,01:22.197,01:23.977,01:23.390,01:25.571,01:22.415,01:23.298
31,01:23.043,01:23.239,01:23.536,01:25.715,,01:28.599,01:23.109,01:22.946,01:23.052,01:22.888,01:23.398,01:23.479,01:22.923,01:22.478,01:21.934,01:23.783,01:23.361,01:25.605,01:22.189,01:23.223
32,01:22.908,01:23.084,01:23.014,01:23.877,,01:50.933,01:23.165,01:22.458,01:22.992,01:23.192,01:23.255,01:23.586,01:23.140,01:22.342,01:22.438,01:27.878,01:23.016,01:23.993,01:22.261,01:23.070
33,01:22.811,01:23.049,01:23.116,01:24.120,,01:24.885,01:23.204,01:22.066,01:22.852,01:23.026,01:23.234,01:23.353,01:23.088,01:22.341,01:21.613,01:49.510,01:23.048,01:24.355,01:21.927,01:23.054
34,01:22.710,01:22.787,01:23.123,01:24.051,,01:24.132,01:24.121,01:21.728,01:22.697,01:22.548,01:22.807,01:23.175,01:21.886,01:21.934,01:21.913,01:24.125,01:22.704,01:23.882,01:22.185,01:22.977
35,01:22.939,01:22.958,01:23.368,01:24.097,,01:28.583,01:23.208,01:22.127,01:22.822,01:23.088,01:23.009,01:24.848,01:22.682,01:25.600,01:22.068,01:24.113,01:23.208,01:23.913,01:22.087,01:23.259
36,01:22.892,01:23.020,01:23.244,01:25.675,,01:24.416,01:23.044,01:22.039,01:23.272,01:22.990,01:23.414,01:23.925,01:22.915,01:43.759,01:22.243,01:23.850,01:23.013,01:23.391,01:25.701,01:23.112
37,01:22.929,01:22.679,01:23.080,01:24.915,,01:24.625,01:22.795,01:22.143,01:22.529,01:22.709,01:23.104,01:23.177,01:22.803,01:22.033,01:25.526,01:25.241,01:24.961,01:24.283,01:47.110,01:22.791
38,01:22.640,01:22.645,01:23.117,01:26.273,,01:24.403,01:22.941,01:21.887,01:22.827,01:22.563,01:23.495,01:23.525,01:22.788,01:21.664,01:45.149,01:25.805,01:22.825,01:24.976,01:21.949,01:22.982
39,01:22.938,01:22.940,01:23.099,01:24.259,,01:24.372,01:22.961,01:22.313,01:22.893,01:22.738,01:27.711,01:23.326,01:22.866,01:21.680,01:21.862,01:24.515,01:23.093,01:25.122,01:22.440,01:23.047
40,01:22.828,01:22.560,01:23.418,01:24.430,,01:24.140,01:22.855,01:22.066,01:28.031,01:22.534,01:44.407,01:23.693,01:22.685,01:21.649,01:21.831,01:24.131,01:22.737,01:23.889,01:22.052,01:22.957
41,01:26.217,01:22.803,01:23.076,01:24.323,,01:26.143,01:23.055,01:22.143,01:45.280,01:22.561,01:22.830,01:23.524,01:22.769,01:22.045,01:21.494,01:24.460,01:22.865,01:23.980,01:21.647,01:23.478
42,01:47.507,01:22.854,01:23.072,01:24.220,,01:28.470,01:23.145,01:22.666,01:21.938,01:22.553,01:22.869,01:23.293,01:23.206,01:21.653,01:21.490,01:24.034,01:23.182,01:23.713,01:21.407,01:22.986
43,01:22.593,01:21.931,01:23.225,01:24.030,,01:31.558,01:22.866,01:22.159,01:23.459,01:23.047,01:22.826,01:23.033,01:22.864,01:21.951,01:21.380,01:24.206,01:22.922,01:23.857,01:21.469,01:22.987
44,01:22.811,01:22.594,01:23.213,01:24.425,,01:51.984,01:23.357,01:22.136,01:24.092,01:22.489,01:22.796,01:22.794,01:22.564,01:21.878,01:21.480,01:24.601,01:24.418,01:23.450,01:21.386,01:23.220
45,01:22.849,01:22.619,01:22.849,01:24.076,,01:28.384,01:22.415,01:22.460,01:22.275,01:22.094,01:23.095,01:22.664,01:22.573,01:21.187,01:21.483,01:23.825,01:22.814,01:23.575,01:20.983,01:23.159
