,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:44.471,01:38.135,01:44.759,01:45.752,01:42.464,01:46.318,01:36.603,01:41.182,01:35.613,01:43.059,01:41.296,01:40.382,01:38.931,01:37.292,01:33.760,01:45.606,01:39.804,01:44.238,01:41.898,01:43.751
2,01:33.120,01:30.972,01:33.623,01:33.655,01:32.653,01:34.272,01:30.457,01:31.896,01:30.573,01:32.498,01:32.272,01:31.817,01:31.127,01:30.572,01:30.198,01:33.739,01:31.392,01:33.009,01:32.520,01:32.713
3,01:31.801,01:30.616,01:32.053,01:32.441,01:31.463,01:33.450,01:30.886,01:31.114,01:30.406,01:31.676,01:31.167,01:31.211,01:30.669,01:30.080,01:30.575,01:33.189,01:31.059,01:31.881,01:30.982,01:31.886
4,01:31.518,01:30.648,01:31.574,01:32.044,01:31.059,01:32.473,01:31.260,01:31.099,01:31.012,01:31.109,01:31.286,01:31.502,01:30.682,01:29.836,01:28.807,01:32.393,01:31.027,01:31.301,01:31.274,01:30.965
5,01:31.405,01:30.838,01:31.547,01:31.548,01:31.834,01:32.395,01:31.079,01:29.792,01:31.214,01:31.205,01:31.726,01:32.468,01:31.153,01:28.166,01:28.815,01:31.886,01:30.743,01:31.466,01:31.471,01:31.663
6,01:32.037,01:31.039,01:31.810,01:31.868,01:33.021,01:32.180,01:30.984,01:29.917,01:30.801,01:31.484,01:31.462,01:31.479,01:30.680,01:28.397,01:28.301,01:31.921,01:30.737,01:32.365,01:31.507,01:32.555
7,01:30.997,01:31.240,01:32.115,01:31.719,01:31.264,01:32.065,01:31.223,01:31.122,01:31.072,01:31.369,01:32.073,01:32.082,01:31.686,01:29.069,01:28.207,01:31.743,01:31.181,01:32.946,01:31.740,01:31.631
8,01:30.846,01:31.210,01:32.388,01:32.123,01:32.128,01:32.120,01:31.377,01:30.318,01:30.974,01:32.130,01:32.209,01:32.287,01:31.346,01:28.339,01:28.359,01:32.326,01:32.448,01:32.342,01:32.173,01:33.085
9,01:31.909,01:30.565,01:32.544,01:32.466,01:31.909,01:32.285,01:30.961,01:29.833,01:30.733,01:32.458,01:30.132,01:54.105,01:32.038,01:28.458,01:28.127,01:32.408,01:31.280,01:32.245,01:30.315,01:31.666
10,01:30.987,01:31.220,01:31.382,01:31.282,01:52.005,01:31.809,01:31.054,01:31.107,01:30.619,01:29.763,01:30.761,01:36.181,01:31.177,01:28.382,01:27.906,01:31.704,01:30.994,01:31.357,01:28.095,01:31.395
11,01:29.960,01:30.419,01:31.343,01:31.344,01:34.528,01:31.463,01:30.715,01:30.629,01:30.522,01:29.720,01:29.555,01:30.396,01:30.971,01:28.315,01:28.080,01:31.440,01:30.605,01:31.576,01:29.523,01:30.993
12,01:30.003,01:30.279,01:31.088,01:31.312,01:30.233,01:31.282,01:32.450,01:31.140,01:30.283,01:29.740,01:29.707,01:29.734,01:30.592,01:28.394,01:27.943,01:31.385,01:30.390,01:31.101,01:30.527,01:31.010
13,01:30.081,01:29.705,01:31.138,01:31.241,01:30.455,01:31.465,01:52.700,01:29.051,01:30.312,01:30.014,01:30.370,01:30.104,01:30.863,01:28.332,01:27.982,01:31.223,01:31.019,01:31.283,01:31.106,01:31.739
14,01:30.092,01:29.940,01:30.064,01:31.340,01:30.333,01:31.473,01:35.301,01:29.268,01:29.924,01:30.210,01:30.439,01:30.245,01:29.887,01:28.336,01:27.943,01:30.644,01:30.350,01:32.318,01:29.972,01:31.654
15,01:30.026,01:30.349,01:30.969,01:31.849,01:30.132,01:31.525,01:29.818,01:29.975,01:29.528,01:29.972,01:30.136,01:29.921,01:29.661,01:28.281,01:27.779,01:31.648,01:30.853,01:31.880,01:29.190,01:52.686
16,01:29.874,01:31.386,01:29.305,01:31.502,01:29.891,01:32.307,01:29.127,01:28.667,01:29.341,01:29.854,01:30.165,01:29.745,01:30.040,01:28.416,01:27.625,01:31.310,01:30.133,01:31.310,01:29.434,01:34.557
17,01:29.778,01:30.133,01:29.435,01:32.252,01:30.003,01:31.110,01:30.407,01:29.108,01:29.298,01:30.296,01:29.973,01:30.150,01:30.809,01:48.566,01:27.514,01:31.793,01:30.047,01:52.485,01:28.361,01:28.894
18,01:30.381,01:29.736,01:29.315,01:50.705,01:30.097,01:30.954,01:30.276,01:28.963,01:29.824,01:29.794,01:30.150,01:29.806,01:29.833,01:32.604,01:47.391,01:32.410,01:29.909,01:34.945,01:29.468,01:29.242
19,01:30.335,01:29.609,01:29.375,01:35.182,01:29.983,01:31.524,01:28.662,01:49.096,01:28.901,01:29.960,01:29.649,01:30.176,01:30.044,01:27.989,01:34.158,01:30.660,01:29.887,01:29.451,01:29.128,01:29.333
20,01:29.974,01:29.463,01:29.328,01:29.579,01:30.171,01:31.440,01:28.781,01:33.466,01:28.875,01:30.052,01:29.841,01:30.324,01:29.825,01:27.750,01:27.495,01:31.477,01:29.795,01:29.385,01:29.350,01:29.528
21,01:30.057,01:29.723,01:29.362,01:29.624,01:31.176,01:32.740,01:28.743,01:28.183,01:28.246,01:29.955,01:30.101,01:29.900,01:29.782,01:27.531,01:27.773,01:31.042,01:29.731,01:29.699,01:30.169,01:29.588
22,01:30.069,01:29.697,01:29.339,01:29.430,01:29.510,01:32.427,01:28.624,01:29.191,01:28.162,01:30.288,01:29.869,01:29.708,01:30.052,01:27.392,01:27.145,01:51.775,01:29.833,01:29.504,01:29.239,01:29.776
23,01:30.116,01:31.077,01:30.862,01:29.360,01:29.880,01:31.847,01:28.770,01:27.735,01:49.161,01:29.963,01:50.883,01:29.119,01:29.661,01:27.152,01:27.423,01:36.726,01:29.833,01:29.656,01:28.422,01:30.908
24,01:32.173,01:29.759,01:29.916,01:29.399,01:29.961,01:32.457,01:29.087,01:30.183,01:35.017,01:30.142,01:33.493,01:29.571,01:50.392,01:27.079,01:27.862,01:29.718,01:29.818,01:29.693,01:28.215,01:28.988
25,01:31.474,01:48.671,01:30.272,01:29.429,01:29.441,01:31.560,01:28.917,01:27.596,01:28.539,01:29.987,01:28.602,01:29.429,01:33.212,01:27.237,01:26.996,01:31.660,01:29.409,01:29.265,01:28.089,01:29.120
26,01:50.268,01:35.241,01:50.561,01:31.229,01:29.398,01:31.134,01:29.012,01:28.373,01:28.536,01:30.313,01:28.597,01:29.066,01:28.905,01:27.098,01:27.018,01:29.797,01:29.232,01:29.731,01:27.907,01:29.033
27,01:35.215,01:29.448,01:33.904,01:30.306,01:29.212,01:33.755,01:28.733,01:29.628,01:29.433,01:53.808,01:28.800,01:29.035,01:28.516,01:27.089,01:27.529,01:29.358,01:49.841,01:30.303,01:27.851,01:29.288
28,01:30.950,01:29.342,01:28.405,01:30.142,01:30.125,01:34.390,01:28.475,01:28.182,01:28.483,01:35.203,01:28.744,01:29.293,01:28.811,01:27.016,01:27.477,01:29.418,01:34.761,01:29.800,01:27.909,01:29.907
29,01:29.385,01:28.623,01:28.931,01:30.250,01:29.695,01:31.535,01:28.406,01:27.903,01:29.846,01:28.232,01:28.599,01:29.231,01:28.702,01:27.225,01:26.840,01:29.468,01:29.169,01:28.927,01:27.991,01:30.637
30,01:31.114,01:28.242,01:29.334,01:29.498,01:50.600,01:31.858,01:28.685,01:27.980,01:28.728,01:29.906,01:28.686,01:29.016,01:28.798,01:26.587,01:27.158,01:29.368,01:28.984,01:31.190,01:27.886,01:31.250
31,01:29.595,01:27.921,01:29.879,01:29.790,01:35.510,01:54.304,01:28.536,01:27.472,01:28.397,01:27.853,01:28.569,01:29.008,01:28.308,01:27.427,01:27.742,01:30.421,01:28.913,01:29.857,01:27.945,01:29.183
32,01:30.918,01:28.034,01:28.231,01:29.385,01:28.953,01:41.988,01:28.740,01:27.657,01:28.113,01:27.510,01:28.448,01:29.001,01:28.300,01:26.924,01:27.074,01:28.600,01:28.664,01:29.216,01:27.990,01:49.375
33,01:29.356,01:28.458,01:28.534,01:28.992,01:29.055,01:30.416,01:29.449,01:30.067,01:31.993,01:28.805,01:28.788,01:29.229,01:28.506,01:27.334,01:26.470,01:29.450,01:29.061,01:29.170,02:31.932,01:34.244
34,01:28.792,01:28.028,01:28.405,01:28.987,01:28.376,01:30.202,01:29.235,01:28.477,01:28.402,01:28.793,01:27.877,01:50.159,01:28.267,01:26.964,01:26.982,01:30.447,01:28.329,01:31.325,01:35.500,01:28.248
35,01:28.233,01:28.101,01:30.177,01:29.571,01:29.129,01:29.645,01:50.401,01:27.547,01:28.021,01:28.227,01:27.912,01:34.630,01:28.487,01:27.031,01:26.554,01:29.004,01:28.321,01:29.630,01:29.218,01:28.646
36,01:28.709,01:27.682,01:28.213,01:30.268,01:28.793,01:31.838,01:33.491,01:27.693,01:28.176,01:27.907,01:28.044,01:28.322,01:28.132,01:27.302,01:26.669,01:29.254,01:28.702,01:29.249,01:28.390,01:28.716
37,01:28.862,01:27.920,01:28.029,01:29.649,01:27.791,01:33.347,01:27.045,01:28.184,01:27.974,01:27.671,01:27.987,01:29.320,01:28.397,01:26.621,01:26.501,01:28.953,01:30.272,01:29.321,01:27.623,01:28.480
38,01:28.341,01:27.258,01:27.714,01:29.167,01:28.359,01:32.118,01:27.289,01:27.660,01:27.878,01:27.274,01:28.586,01:28.858,01:28.534,01:27.038,01:26.919,01:28.845,01:28.390,01:28.952,01:27.351,01:28.652
39,01:29.246,01:26.989,01:27.447,01:31.110,01:28.588,01:36.328,01:27.625,01:28.048,01:27.484,01:27.174,01:27.905,01:28.039,01:27.891,01:26.908,01:26.720,01:28.891,01:27.755,01:28.895,01:27.246,01:28.631
40,01:29.149,01:27.108,01:27.144,01:29.945,01:28.440,01:33.916,01:27.847,01:27.403,01:27.385,01:27.260,01:27.811,01:28.168,01:27.691,01:27.174,01:26.876,01:30.103,01:27.299,01:28.958,01:28.108,01:27.823
41,01:29.081,01:26.980,01:27.416,01:29.165,01:28.785,01:29.644,01:27.553,01:47.990,01:27.064,01:27.209,01:27.706,01:28.591,01:27.609,01:47.168,01:26.648,01:28.648,01:27.425,01:28.932,01:27.913,01:28.430
42,01:30.011,01:26.996,01:27.182,01:30.868,01:28.048,01:32.315,01:27.636,01:31.217,01:26.761,01:26.804,01:27.685,01:28.638,01:27.494,01:31.322,01:46.851,01:28.597,01:27.494,01:28.798,01:27.783,01:28.392
43,01:30.496,01:26.847,01:27.214,01:29.047,01:28.785,01:29.048,01:27.507,01:25.747,01:27.661,01:27.050,01:27.631,01:28.471,01:27.569,01:26.494,01:32.048,01:28.929,01:26.908,01:28.577,01:27.775,01:28.442
