,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:48.221,01:44.272,01:52.276,01:54.413,01:51.778,01:53.218,01:53.699,01:50.617,01:49.347,01:52.660,01:47.279,01:56.581,01:51.098,01:54.968,01:49.826,01:55.780,01:42.997,01:46.318,01:54.016,01:56.132
2,01:42.835,01:42.204,01:44.638,01:46.950,01:44.594,01:45.317,01:45.494,01:43.853,01:44.282,01:45.188,01:42.732,01:46.433,01:44.295,01:45.390,01:42.034,01:46.750,01:42.076,01:42.795,01:45.895,01:45.941
3,01:42.415,01:41.697,01:43.059,01:43.851,01:42.940,01:44.684,01:42.868,01:41.628,01:43.653,01:43.003,01:42.709,01:44.403,01:42.951,01:43.964,01:42.100,01:44.331,01:41.668,01:42.882,01:43.892,01:43.939
4,01:42.741,01:41.840,01:42.348,01:43.635,01:42.363,01:44.639,01:42.339,01:41.781,01:42.442,01:42.081,01:42.848,01:42.965,01:42.456,01:41.814,01:42.734,01:44.586,01:41.533,01:42.790,01:41.437,01:43.568
5,01:42.682,01:41.739,01:43.144,01:43.169,01:42.990,01:43.117,01:42.392,01:42.236,01:42.597,01:43.036,01:42.628,01:43.342,01:42.753,01:42.080,01:42.718,01:43.579,01:41.396,01:42.657,01:42.259,01:43.251
6,01:42.401,01:41.883,01:42.773,01:43.379,01:42.602,01:43.583,01:43.159,01:42.474,01:42.382,01:43.147,01:42.326,01:43.463,01:42.635,01:42.521,01:42.414,01:43.712,01:41.734,01:42.262,01:43.825,01:43.411
7,01:42.171,01:41.804,01:42.316,01:44.666,01:42.451,01:44.749,01:42.358,01:42.246,01:42.348,01:42.089,01:42.100,01:44.263,01:42.300,01:42.384,01:42.300,01:43.801,01:42.291,01:42.006,01:42.366,01:44.325
8,01:42.052,01:41.755,01:42.425,01:45.362,01:42.410,01:44.601,01:43.465,01:42.072,01:43.012,01:42.333,01:42.064,01:45.576,01:42.657,01:41.703,01:42.076,01:45.062,01:42.444,01:42.043,01:42.839,01:45.532
9,01:41.945,01:42.202,01:42.609,01:43.363,01:42.598,01:44.059,01:42.113,01:42.209,01:41.762,01:42.561,01:41.999,01:44.334,01:42.438,01:41.952,01:42.134,01:44.737,01:42.426,01:42.075,01:42.203,01:43.532
10,01:42.298,01:42.278,01:43.342,01:44.119,01:42.351,01:44.021,01:43.609,01:42.162,01:42.163,01:44.637,01:42.281,01:43.663,01:42.255,01:43.052,01:42.211,01:44.293,01:42.336,01:42.197,01:43.615,01:43.975
11,01:42.233,01:43.453,01:41.955,01:46.205,01:42.296,01:44.520,01:42.134,01:42.224,01:42.059,01:41.905,01:42.223,01:45.060,01:42.226,01:42.048,01:42.348,01:44.574,01:42.566,01:42.260,01:42.188,01:43.939
12,01:42.215,01:42.558,01:42.280,01:44.060,01:42.278,01:44.678,01:42.295,01:42.521,01:41.911,01:42.186,01:46.628,01:44.388,01:42.334,01:42.300,01:42.263,01:44.990,01:42.810,01:42.281,01:42.112,01:44.175
13,01:42.109,01:41.142,01:43.587,01:48.268,01:42.295,01:44.751,01:42.255,01:42.080,01:41.986,01:42.405,02:01.392,01:48.912,01:42.243,01:41.548,01:41.953,01:44.631,01:43.871,01:46.855,01:42.309,01:41.849
14,01:41.647,01:41.531,01:43.447,02:01.725,01:42.506,01:47.794,01:42.841,01:41.818,01:41.848,01:40.993,01:40.793,02:02.484,01:42.278,01:41.676,01:41.942,01:44.289,01:48.223,02:02.549,01:42.953,01:42.224
15,01:41.519,01:41.361,01:42.365,01:41.457,01:46.725,02:03.999,01:42.619,01:41.822,01:41.733,01:41.707,01:42.195,01:43.458,01:46.731,01:41.745,01:41.434,01:43.419,02:01.968,01:41.768,01:42.565,01:42.113
16,01:41.570,01:41.175,01:41.835,01:41.383,02:02.624,01:44.918,01:42.437,01:41.372,01:41.374,01:41.152,01:41.058,01:41.946,02:01.779,01:40.295,01:41.491,01:43.647,01:40.860,01:41.346,01:42.461,01:41.998
17,01:41.548,01:40.829,01:41.574,01:41.372,01:41.204,01:42.559,01:41.724,01:41.400,01:41.412,01:40.867,01:41.325,01:41.233,01:40.879,01:40.272,01:41.552,01:43.197,01:41.118,01:41.377,01:41.800,01:41.647
18,01:41.414,01:40.863,01:41.453,01:42.123,01:41.315,01:42.301,01:41.594,01:41.498,01:41.441,01:40.587,01:41.100,01:40.924,01:40.950,01:40.178,01:41.478,01:43.133,01:40.677,01:41.439,01:41.449,01:41.413
19,01:41.704,01:40.849,01:41.325,01:41.836,01:40.956,01:42.003,01:41.305,01:41.637,01:41.446,01:40.952,01:41.033,01:41.336,01:40.775,01:40.602,01:41.642,01:44.054,01:40.797,01:41.915,01:41.474,01:41.465
20,01:41.789,01:40.866,01:42.174,01:41.492,01:41.322,01:42.032,01:41.814,01:41.708,01:41.692,01:40.565,01:41.137,01:41.187,01:41.200,01:41.386,01:41.799,01:48.013,01:40.941,01:41.608,01:41.694,01:41.693
21,01:41.715,01:40.689,01:41.400,01:41.439,01:40.823,01:42.259,01:41.397,01:41.615,01:41.100,01:40.639,01:41.160,01:41.318,01:41.009,01:41.095,01:41.787,02:02.492,01:41.242,01:41.205,01:41.606,01:41.321
22,01:46.200,01:40.906,01:41.370,01:41.377,01:41.001,01:42.436,01:41.272,01:41.630,01:41.543,01:40.767,01:40.964,01:41.422,01:40.737,01:41.555,01:41.381,01:40.276,01:41.239,01:41.614,01:41.560,01:42.866
23,02:05.090,01:40.788,01:41.351,01:42.020,01:41.317,01:42.178,01:41.510,01:40.671,01:40.982,01:41.024,01:40.863,01:41.295,01:40.986,01:41.112,01:40.281,01:40.333,01:41.272,01:41.632,01:41.011,01:42.541
24,01:39.124,01:40.638,01:41.419,01:41.820,01:40.308,01:41.713,01:41.244,01:40.525,01:40.947,01:41.413,01:40.962,01:41.198,01:41.696,01:41.239,01:39.908,01:40.552,01:41.403,01:41.365,01:41.286,01:43.480
25,01:39.596,01:41.057,01:41.460,01:41.644,01:40.826,01:42.019,01:41.612,01:40.247,01:40.836,01:40.889,01:41.077,01:41.743,01:40.704,01:41.044,01:40.051,01:40.769,01:41.402,01:41.372,01:41.438,01:41.496
26,01:39.920,01:41.118,01:45.825,01:40.865,01:41.186,01:41.722,01:41.583,01:40.255,01:40.441,01:40.873,01:41.017,01:41.140,01:40.896,01:45.393,01:45.751,01:40.698,01:41.356,01:42.247,01:41.932,01:41.610
27,01:40.208,01:40.933,01:59.820,01:41.044,01:41.391,01:41.837,01:41.324,01:39.547,01:40.314,01:40.411,01:41.615,01:41.440,01:41.772,01:59.772,01:59.008,01:41.093,01:40.747,01:41.856,01:42.362,01:41.344
28,01:39.480,01:45.622,01:39.559,01:40.679,01:40.902,01:41.720,01:40.907,01:39.888,01:40.277,01:40.336,01:40.964,01:40.882,01:41.029,01:38.396,01:40.471,01:41.500,01:40.792,01:41.854,01:45.623,01:41.318
29,01:39.787,01:59.439,01:41.004,01:40.809,01:40.995,01:42.425,01:41.201,01:39.516,01:40.098,01:40.264,01:41.440,01:40.907,01:40.809,01:38.910,01:38.844,01:42.243,01:41.328,01:41.006,01:58.450,01:43.313
30,01:40.610,01:38.642,01:39.990,01:40.841,01:40.563,01:41.837,01:41.817,01:39.547,01:39.946,01:40.223,01:40.617,01:40.999,01:40.929,01:39.676,01:38.244,01:41.901,01:41.646,01:40.869,01:39.547,01:42.210
31,01:40.310,01:38.889,01:39.358,01:40.908,01:40.753,01:45.109,01:41.306,01:39.360,01:40.353,01:40.442,01:42.234,01:40.869,01:40.795,01:41.151,01:38.009,01:42.539,01:41.384,01:40.739,01:38.216,01:41.691
32,01:41.098,01:38.788,01:39.786,01:40.585,01:40.631,01:42.840,01:41.611,01:39.618,01:40.379,01:40.582,01:41.612,01:41.009,01:40.933,01:39.978,01:38.134,01:47.201,01:41.488,01:40.731,01:38.931,01:41.260
33,01:41.532,01:39.458,01:39.892,01:40.820,01:40.686,01:42.044,01:45.981,01:39.556,01:40.304,01:40.564,01:41.215,01:40.863,01:40.807,01:41.650,01:38.316,,01:41.332,01:40.685,01:38.849,01:41.056
34,01:40.319,01:38.649,01:40.000,01:40.524,01:40.289,01:42.866,01:59.518,01:39.625,01:40.592,01:42.317,01:40.883,01:41.215,01:40.598,01:40.528,01:38.007,,01:40.053,01:40.673,01:39.783,01:41.000
35,01:39.761,01:38.797,01:40.310,01:40.463,01:40.470,01:42.928,01:38.279,01:40.384,01:40.130,01:46.626,01:40.464,01:40.739,01:40.786,01:39.977,01:38.200,,01:39.557,01:40.727,01:40.240,01:42.380
36,01:39.935,01:39.074,01:40.672,01:40.628,01:40.588,01:42.921,01:39.007,01:45.808,01:45.367,02:03.068,01:40.534,01:40.945,01:40.782,01:40.320,01:38.273,,01:39.900,01:40.789,01:41.236,01:46.508
37,01:39.847,01:38.910,01:40.655,01:40.293,01:40.831,01:42.868,01:38.949,02:05.912,02:00.677,01:40.863,01:41.392,01:40.612,01:40.714,01:40.972,01:37.770,,01:39.391,01:40.704,01:40.674,02:01.557
38,01:39.603,01:38.118,01:40.823,01:40.121,01:40.777,01:45.387,01:39.015,01:39.460,01:40.222,01:40.696,01:41.066,01:40.589,01:40.806,01:42.004,01:37.689,,01:39.646,01:40.599,01:40.613,01:39.116
39,01:39.683,01:37.423,01:41.264,01:40.340,01:40.503,01:42.957,01:39.207,01:39.631,01:40.930,01:39.894,01:40.840,01:40.384,01:40.609,01:40.979,01:37.719,,01:39.446,01:40.660,01:40.760,01:39.058
40,01:39.722,01:37.834,01:40.897,01:40.236,01:41.655,01:43.295,01:40.509,01:39.693,01:40.494,01:39.158,01:40.576,01:40.236,01:41.530,01:40.444,01:37.608,,01:39.294,01:40.596,01:41.316,01:39.456
41,01:40.050,01:37.913,01:40.818,01:40.443,01:40.816,01:43.132,01:40.265,01:40.196,01:40.009,01:39.664,01:40.508,01:40.147,01:40.905,01:40.237,01:37.832,,01:39.665,01:40.804,01:40.366,01:39.725
42,01:39.303,01:37.873,01:41.154,01:40.000,01:41.283,01:43.093,01:40.987,01:39.218,01:39.303,01:39.212,01:40.984,01:39.960,01:41.361,01:39.356,01:37.678,,01:39.725,01:42.208,01:41.106,01:39.652
43,01:39.481,01:37.755,01:40.404,01:40.117,01:42.308,01:43.621,01:42.043,01:39.475,01:39.445,01:39.076,01:41.060,01:40.033,01:40.852,01:39.642,01:37.575,,01:39.528,01:40.881,01:41.933,01:39.645
44,01:42.111,01:37.840,01:39.251,01:40.414,01:41.073,01:53.968,01:41.577,01:40.078,01:38.686,01:39.034,01:41.976,01:40.630,01:41.502,01:39.300,01:37.789,,01:39.552,01:41.102,01:41.155,01:39.707
