,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:24.595,02:01.858,01:23.106,01:28.273,01:33.654,01:27.015,01:24.052,01:19.651,01:24.928,01:21.519,01:25.162,01:26.465,01:24.757,01:18.399,01:23.099,01:26.538,01:22.506,01:27.260,01:20.541,01:25.903
2,01:17.399,01:37.178,01:16.794,01:18.529,01:15.334,01:18.763,01:16.434,01:14.726,01:17.801,01:15.906,01:18.331,01:17.739,01:16.636,01:14.680,01:15.675,01:18.977,01:16.140,01:19.497,01:15.297,01:18.237
3,01:15.973,01:15.530,01:15.670,01:17.689,01:16.810,01:17.425,01:15.989,01:14.626,01:16.308,01:15.751,01:16.639,01:16.344,01:16.090,01:14.471,01:14.254,01:18.364,01:16.321,01:18.502,01:14.954,01:17.833
4,01:15.987,01:15.632,01:15.979,01:17.665,01:16.662,01:17.402,01:15.758,01:14.689,01:16.250,01:16.426,01:17.206,01:33.623,01:15.876,01:14.713,01:14.307,01:17.762,01:15.747,01:18.293,01:14.837,01:17.165
5,01:16.145,01:26.984,01:16.008,01:17.300,01:17.595,01:17.188,01:16.073,01:14.595,01:16.607,01:15.764,01:16.897,01:50.411,01:16.223,01:14.660,01:14.172,01:17.343,01:15.677,01:17.306,01:17.488,01:16.468
6,01:31.745,01:42.489,01:29.959,01:34.458,01:35.367,01:33.587,01:30.645,01:28.670,01:31.357,01:27.896,01:30.844,01:44.239,01:30.846,01:27.488,01:27.601,01:33.537,01:28.611,01:39.416,01:28.275,01:32.522
7,01:57.463,01:36.139,01:57.782,01:56.494,01:57.858,01:56.967,01:58.617,01:59.107,02:00.143,01:58.517,02:00.022,01:36.065,01:58.491,01:59.850,01:59.617,01:56.659,01:58.669,01:53.753,01:58.619,01:58.559
8,02:13.496,01:37.267,02:13.124,02:13.925,02:14.036,02:14.063,02:12.584,02:13.453,02:12.589,02:12.431,02:12.500,01:45.295,02:13.132,02:13.610,02:11.737,02:14.141,02:11.905,02:14.709,02:12.300,02:12.340
9,02:17.097,01:59.078,02:20.499,02:07.018,02:04.562,02:08.696,02:19.155,02:28.325,02:14.418,02:24.186,02:13.082,02:01.876,02:17.543,02:29.633,02:27.627,02:07.865,02:22.998,02:03.246,02:25.925,02:11.787
10,01:18.607,01:20.256,01:18.370,01:22.102,01:19.949,01:20.017,01:18.600,01:15.792,01:19.313,01:17.650,01:19.148,01:20.836,01:18.915,01:14.805,01:15.980,01:20.630,01:18.032,01:21.760,01:16.919,01:19.865
11,01:16.755,01:17.957,01:16.388,01:18.857,01:18.551,01:18.825,01:16.279,01:14.621,01:18.426,01:15.741,01:17.542,01:18.422,01:17.542,01:14.577,01:14.607,01:49.493,01:16.074,01:19.218,01:15.000,01:18.214
12,01:37.642,01:41.743,01:37.057,01:41.761,01:42.408,01:40.572,01:37.341,01:34.978,01:40.116,01:35.677,01:40.128,01:42.217,01:38.123,01:33.704,01:34.983,02:09.687,01:36.671,01:41.929,01:34.450,01:40.651
13,01:41.592,01:39.314,01:40.898,01:44.340,01:40.113,01:39.975,01:41.325,01:39.958,01:40.131,01:39.442,01:39.375,01:40.862,01:40.933,01:40.040,01:39.738,01:29.680,01:41.287,01:40.451,01:40.026,01:39.830
14,01:20.045,01:19.583,01:20.775,01:33.034,01:18.994,01:20.152,01:20.272,01:23.998,01:19.740,01:23.844,01:20.158,01:19.158,01:20.610,01:24.966,01:24.357,01:14.891,01:20.992,01:17.742,01:24.224,01:19.962
15,01:15.656,01:16.392,01:15.735,01:15.784,01:16.469,01:16.733,01:15.758,01:14.479,01:15.854,01:15.172,01:16.301,01:16.447,01:15.840,01:14.364,01:14.337,01:15.273,01:15.077,01:16.830,01:14.489,01:16.116
16,01:15.583,01:16.352,01:15.796,01:15.723,01:17.538,01:18.129,01:15.557,01:14.450,01:16.008,01:15.159,01:16.036,01:16.061,01:15.911,01:14.314,01:14.534,01:15.857,01:15.120,01:18.024,01:14.322,01:16.111
17,01:15.805,01:16.025,01:15.860,01:16.004,01:17.741,01:17.027,01:15.744,01:14.937,01:16.107,01:15.164,01:16.305,01:16.450,01:15.811,01:14.324,01:14.747,01:16.125,01:15.348,01:17.040,01:15.097,01:15.831
18,01:15.679,01:16.102,01:16.801,01:15.838,01:17.028,01:18.208,01:15.169,01:15.853,01:16.213,01:15.439,01:16.163,01:15.882,01:15.923,01:14.516,01:15.716,01:16.494,01:15.684,01:17.165,01:15.231,01:16.133
19,01:15.671,01:16.057,01:16.033,01:15.856,01:16.349,01:18.218,01:15.401,01:16.024,01:16.298,01:15.356,01:16.382,01:15.970,01:15.863,01:14.468,01:14.300,01:16.316,01:15.504,01:16.958,01:15.404,01:16.170
20,01:16.272,01:16.590,01:16.584,01:15.983,01:16.314,01:18.795,01:15.397,01:15.248,01:16.791,01:15.679,01:16.892,01:16.093,01:16.346,01:14.383,01:14.424,01:16.593,01:15.713,01:16.595,01:15.670,01:16.667
21,01:15.219,01:16.211,01:16.508,01:16.285,01:16.074,01:17.947,01:15.780,01:14.972,01:16.012,01:15.448,01:17.721,01:16.124,01:16.043,01:14.744,01:14.533,01:16.267,01:15.689,01:16.158,01:15.067,01:16.831
22,01:15.511,01:16.214,01:16.146,01:16.229,01:16.483,01:17.620,01:15.824,01:14.896,01:15.768,01:15.447,01:19.904,01:16.129,01:16.144,01:14.580,01:14.531,01:16.468,01:15.652,01:16.452,01:15.409,01:16.874
23,01:15.625,01:16.318,01:16.134,01:16.231,01:16.281,01:17.466,01:15.659,01:14.794,01:15.465,01:15.289,01:34.622,01:15.832,01:16.104,01:14.774,01:14.775,01:18.361,01:15.423,01:16.133,01:15.139,01:15.957
24,01:15.468,01:16.237,01:16.409,01:15.998,01:16.135,01:17.613,01:16.066,01:15.036,01:15.756,01:15.592,01:15.382,01:16.076,01:16.167,01:14.842,01:15.124,01:18.747,01:15.850,01:16.399,01:15.021,01:16.290
25,01:15.607,01:16.231,01:16.251,01:16.150,01:16.194,01:17.612,01:19.470,01:15.297,01:15.683,01:15.695,01:15.344,01:16.259,01:16.170,01:15.061,01:14.976,01:20.681,01:15.561,01:16.380,01:15.019,01:16.384
26,01:15.300,01:15.793,01:16.446,01:16.665,01:16.340,01:17.714,01:31.872,01:15.135,01:15.769,01:15.465,01:16.581,01:16.190,01:16.140,01:14.911,01:18.676,01:17.051,01:19.586,01:16.732,01:15.146,01:16.382
27,01:15.831,01:16.279,01:16.543,01:18.177,01:17.513,01:17.664,01:14.297,01:15.272,01:16.102,01:19.370,01:17.717,01:16.335,01:16.497,01:18.696,01:29.802,01:16.488,01:31.824,01:16.986,01:15.242,01:16.473
28,01:16.651,01:16.883,01:20.262,01:17.845,01:21.185,01:17.329,01:15.349,01:19.188,01:16.305,01:31.496,01:16.295,01:18.607,01:16.381,01:30.413,01:13.364,01:16.488,01:15.285,01:16.921,01:15.334,01:18.919
29,01:15.818,01:17.131,01:33.946,01:17.124,01:34.516,01:18.429,01:15.605,01:31.989,01:16.298,01:14.688,01:15.537,01:16.724,01:16.284,01:13.501,01:13.162,01:33.043,01:15.594,01:16.398,01:14.672,01:21.778
30,01:30.060,01:31.345,01:31.338,01:32.763,01:29.316,01:32.873,01:30.142,01:28.280,01:31.337,01:30.364,01:30.293,01:30.895,01:32.020,01:24.575,01:24.312,01:40.958,01:31.341,01:30.589,01:27.036,01:45.612
31,01:31.466,01:17.207,01:15.083,01:16.587,01:15.083,01:18.565,01:15.245,01:13.698,01:15.603,01:14.957,01:15.408,01:16.393,01:32.154,01:19.408,01:19.397,01:16.779,01:14.540,01:16.596,01:31.638,01:14.480
32,01:15.371,01:15.986,01:14.760,01:16.319,01:14.588,01:18.097,01:15.095,01:13.566,01:15.701,01:14.497,01:15.440,01:16.374,01:14.825,01:13.155,01:13.225,01:16.293,01:14.324,01:17.009,01:13.002,01:14.830
33,01:14.681,01:16.168,01:16.189,01:17.047,01:14.782,01:17.984,01:14.608,01:13.536,01:16.518,01:14.620,01:15.564,01:16.346,01:15.031,01:13.140,01:13.291,01:17.768,01:14.890,01:16.768,01:13.583,01:15.182
34,01:15.137,01:15.713,01:15.126,01:16.264,01:15.128,01:22.435,01:14.563,01:13.707,01:19.796,01:14.328,01:15.469,01:15.972,01:15.135,01:13.391,01:13.491,01:16.220,01:14.317,01:17.155,01:13.085,01:15.090
35,01:15.136,01:15.623,01:15.348,01:16.529,01:15.054,01:35.011,01:14.349,01:13.672,01:31.870,01:14.062,01:15.644,01:16.271,01:15.093,01:13.434,01:13.470,01:15.985,01:14.285,01:16.462,01:13.358,01:15.461
36,01:14.872,01:15.817,01:14.817,01:16.294,01:14.955,01:14.954,01:14.327,01:13.517,01:14.556,01:14.006,01:15.669,01:16.372,01:15.925,01:13.578,01:13.515,01:17.407,01:14.462,01:17.476,01:13.553,01:15.459
37,01:14.854,01:19.164,01:15.007,01:16.225,01:15.106,01:15.104,01:14.631,01:13.601,01:13.922,01:14.043,01:15.827,01:17.689,01:15.310,01:13.838,01:13.967,01:17.188,01:14.249,01:16.494,01:13.511,01:15.803
38,01:14.589,01:33.595,01:17.002,01:16.309,01:15.418,01:15.408,01:14.410,01:13.485,01:15.036,01:13.989,01:16.310,01:17.653,01:14.971,01:13.475,01:13.395,01:16.630,01:14.163,01:16.563,01:13.530,01:16.252
39,01:14.595,01:14.581,01:15.461,01:20.044,01:15.643,01:15.753,01:14.494,01:13.582,01:15.237,01:14.166,01:16.896,01:21.801,01:15.129,01:13.693,01:13.466,01:15.834,01:14.032,01:16.946,01:13.584,01:16.815
40,01:14.443,01:14.382,01:15.775,01:34.440,01:15.482,01:17.868,01:14.449,01:13.499,01:14.126,01:14.156,01:16.566,01:46.372,01:15.035,01:17.355,01:13.584,01:15.695,01:14.035,01:16.710,01:13.661,01:16.477
41,01:14.696,01:16.635,01:15.567,01:15.279,01:16.710,01:15.942,01:14.859,01:13.886,01:14.455,01:14.266,01:16.514,01:16.664,01:14.974,01:29.979,01:13.577,01:15.694,01:14.502,01:21.624,01:17.563,01:17.588
42,01:14.723,01:15.900,01:15.394,01:17.852,01:16.347,01:17.886,01:14.839,01:17.410,01:14.165,01:14.211,01:15.629,01:14.592,01:14.954,01:12.959,01:13.394,01:15.216,01:14.551,01:31.963,01:30.597,01:19.553
43,01:14.787,01:15.040,01:15.151,01:16.349,01:14.150,01:15.953,01:14.709,01:29.500,01:14.188,01:14.847,01:15.748,01:15.127,01:14.611,01:13.261,01:17.413,01:15.427,01:14.560,01:15.111,01:12.862,01:33.866
