,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:42.224,01:40.157,01:45.422,01:47.622,01:44.906,01:48.604,01:41.926,01:39.056,01:43.891,01:38.491,01:46.177,01:49.425,01:41.170,01:41.916,01:35.234,01:47.170,01:44.856,01:46.800,01:36.272,01:43.867
2,01:37.187,01:35.867,01:39.283,01:40.248,01:38.815,01:40.056,01:36.492,01:35.303,01:36.375,01:35.006,01:39.250,01:37.397,01:36.208,01:34.338,01:34.020,01:40.173,01:37.854,01:39.616,01:34.048,01:37.348
3,01:35.879,01:35.600,01:36.568,01:37.640,01:36.194,01:38.699,01:35.872,01:34.461,01:36.275,01:34.497,01:39.266,01:36.504,01:35.655,01:34.383,01:33.782,01:37.879,01:36.003,01:37.844,01:34.138,01:35.939
4,01:35.324,01:35.385,01:36.236,01:37.821,01:36.074,01:37.631,01:35.490,01:34.474,01:35.464,01:34.414,01:35.852,01:37.094,01:35.587,01:33.654,01:33.792,01:37.254,01:35.619,01:37.524,01:33.585,01:35.637
5,01:35.382,01:35.346,01:36.005,01:37.461,01:36.009,01:37.228,01:35.431,01:34.356,01:35.748,01:34.150,01:36.551,01:35.827,01:35.327,01:33.723,01:33.397,01:36.539,01:35.145,01:36.668,01:33.676,01:35.444
6,01:34.918,01:35.333,01:36.067,01:36.869,01:36.009,01:37.671,01:35.276,01:34.171,01:35.849,01:34.186,01:35.825,01:35.405,01:35.374,01:33.678,01:33.260,01:36.364,01:35.029,01:36.152,01:33.465,01:35.811
7,01:35.553,01:35.547,01:35.685,01:36.466,01:35.535,01:37.043,01:35.806,01:35.151,01:36.974,01:34.155,01:35.818,01:35.847,01:35.468,01:33.600,01:33.720,01:36.922,01:36.543,01:36.130,01:33.639,01:36.069
8,01:35.081,01:35.314,01:35.665,01:36.115,01:36.066,01:37.558,01:36.809,01:34.421,01:37.134,01:33.976,01:35.907,01:35.720,01:35.277,01:33.603,01:33.214,01:36.043,01:35.355,01:36.160,01:33.655,01:35.474
9,01:34.915,01:35.794,01:37.402,01:43.300,01:35.288,01:49.829,01:35.257,01:34.138,01:35.601,01:33.963,01:42.354,01:35.805,01:35.242,01:33.573,01:33.150,,01:34.932,01:42.388,01:33.701,01:35.673
10,02:04.764,02:06.861,02:07.238,02:06.447,02:09.976,02:02.903,02:04.284,02:05.840,02:10.761,02:05.296,02:27.675,02:08.549,02:05.014,02:04.230,02:02.043,,02:06.526,02:20.006,02:07.440,02:07.135
11,02:39.350,02:57.625,02:41.126,02:38.468,02:39.099,02:26.740,02:43.696,02:56.055,02:46.293,02:54.515,02:22.383,02:39.700,02:38.831,02:52.037,03:00.569,,02:40.983,02:26.698,02:53.975,02:41.962
12,02:48.915,02:44.073,02:44.852,02:44.949,02:46.631,02:43.497,02:46.749,02:46.473,02:43.853,02:48.391,02:44.326,02:45.032,02:48.154,02:47.282,02:48.065,,02:46.182,02:43.823,02:47.772,02:45.622
13,02:59.302,03:06.378,03:04.929,03:25.747,03:03.504,03:10.385,02:59.573,03:00.851,03:08.223,02:59.190,03:24.891,03:02.949,02:56.663,02:54.881,02:55.505,,03:00.919,03:14.010,02:56.937,03:02.130
14,19:53.150,19:59.791,20:00.770,19:46.542,19:59.343,19:57.224,19:56.151,19:57.659,20:01.043,19:54.398,19:45.303,19:57.906,19:54.256,19:50.175,19:54.857,,19:57.796,19:54.821,19:53.967,19:57.442
15,03:30.743,03:34.915,03:20.719,03:16.490,03:28.633,,03:27.223,,03:25.227,03:33.042,03:19.187,03:36.141,03:26.892,03:37.106,03:34.902,,03:28.704,,03:38.147,03:25.815
16,21:42.823,21:47.962,21:45.577,21:46.135,21:45.960,,21:46.156,,21:44.158,21:47.153,21:45.112,21:45.885,21:35.166,21:47.869,21:37.704,,21:45.516,,21:43.872,21:44.901
17,02:30.837,02:01.196,02:16.045,02:05.773,02:13.924,,02:25.672,,02:09.426,02:25.319,02:05.491,02:09.430,02:44.267,02:32.203,02:37.547,,02:22.900,,02:28.734,02:22.680
18,01:34.564,01:37.185,01:35.872,01:37.314,01:37.081,,01:35.689,,01:37.425,01:36.483,01:37.049,01:36.474,01:35.131,01:33.425,01:33.056,,01:36.253,,01:34.794,01:35.474
19,01:33.987,01:36.056,01:35.046,01:37.025,01:35.674,,01:34.498,,01:35.602,01:35.072,01:35.575,01:35.041,01:33.886,01:32.712,01:32.974,,01:35.356,,01:34.141,01:34.910
20,01:33.589,01:35.193,01:34.457,01:35.474,01:35.361,,01:34.262,,01:35.325,01:34.841,01:35.120,01:34.744,01:33.702,01:32.764,01:32.532,,01:34.916,,01:33.489,01:34.262
21,01:33.964,01:35.504,01:34.592,01:35.424,01:34.936,,01:34.087,,01:35.306,01:34.571,01:34.766,01:34.592,01:33.580,01:32.488,01:32.130,,01:34.493,,01:33.908,01:34.316
22,01:33.505,01:34.775,01:34.389,01:34.923,01:34.281,,01:34.132,,01:34.145,01:34.605,01:34.699,01:33.928,01:33.649,01:32.204,01:32.674,,01:33.969,,01:33.288,01:34.316
23,01:45.604,01:57.055,02:02.002,01:56.207,01:57.410,,01:48.505,,01:57.640,01:53.316,01:55.617,02:46.858,01:46.410,01:38.474,01:40.670,,01:54.738,,01:47.025,01:49.974
24,01:53.522,01:47.080,01:47.953,01:46.615,01:47.877,,01:50.008,,01:47.176,01:53.089,01:49.205,02:01.649,01:53.191,01:58.848,01:56.641,,01:51.082,,01:52.013,01:49.615
25,01:33.484,01:36.035,01:35.286,01:36.996,01:35.026,,01:34.188,,01:47.635,01:33.642,01:34.708,01:34.173,01:33.097,01:31.785,01:31.502,,01:33.311,,01:33.299,01:33.648
26,01:33.496,01:36.317,01:43.635,01:36.619,01:51.330,,01:33.957,,01:35.879,01:33.086,01:34.727,01:40.268,01:33.117,01:32.179,01:31.809,,01:33.014,,01:34.453,01:34.260
27,01:40.828,01:50.818,01:54.364,01:51.958,02:19.182,,01:43.051,,01:52.289,01:47.933,01:50.281,01:44.139,01:38.862,01:31.883,01:32.669,,01:48.286,,01:42.212,01:45.850
28,01:37.306,01:32.998,01:35.397,01:34.667,01:45.064,,01:38.034,,01:34.184,01:34.874,01:35.382,01:47.750,01:39.141,01:44.699,01:44.229,,01:33.043,,01:37.370,01:37.857
29,01:52.454,02:02.122,02:05.773,02:03.337,02:06.890,,01:54.524,,02:06.437,01:59.441,02:03.542,02:06.496,01:51.215,01:41.727,01:43.184,,01:58.045,,01:53.111,01:56.632
30,02:07.251,02:07.591,02:06.515,02:06.275,02:07.224,,02:07.164,,02:06.321,02:07.797,02:04.984,02:07.974,02:07.399,02:07.686,02:07.028,,02:08.736,,02:06.597,02:06.539
31,02:06.995,02:07.594,02:07.101,02:07.087,02:05.720,,02:07.307,,02:07.020,02:07.664,02:06.640,02:05.914,02:07.097,02:08.261,02:07.402,,02:08.169,,02:06.933,02:07.199
32,02:06.925,01:54.679,01:51.300,01:54.422,01:44.660,,02:05.168,,01:49.941,01:58.029,01:58.181,01:37.981,02:06.209,02:04.976,02:06.321,,01:58.478,,02:06.307,02:05.121
33,01:33.471,01:32.933,01:34.903,01:34.183,01:33.988,,01:34.340,,01:33.813,01:32.704,01:34.041,01:33.208,01:34.864,01:38.172,01:37.237,,01:32.814,,01:33.124,01:33.769
34,01:33.443,01:32.828,01:35.678,01:33.597,01:33.559,,01:33.488,,01:33.954,01:32.257,01:33.569,01:33.095,01:33.659,01:31.491,01:31.411,,01:32.292,,01:32.602,01:33.357
35,01:39.221,01:50.999,01:49.652,01:50.752,01:46.273,,01:41.734,,01:49.736,01:46.036,01:50.932,01:44.602,01:40.211,01:31.488,01:31.199,,01:46.186,,01:39.304,01:44.409
36,01:37.947,01:33.675,01:34.370,01:33.916,01:33.082,,01:36.762,,01:33.673,01:33.209,01:33.966,01:32.542,01:38.191,01:43.722,01:43.095,,01:33.549,,01:37.318,01:35.920
37,01:33.337,01:33.149,01:34.426,01:33.631,01:34.075,,01:32.881,,01:33.770,01:32.066,01:35.178,01:32.869,01:32.600,01:35.677,01:37.056,,01:31.851,,01:33.439,01:32.865
38,01:34.017,01:32.502,01:34.189,01:34.030,01:33.511,,01:33.204,,01:33.652,01:32.745,01:33.365,01:32.814,01:32.667,01:31.683,01:32.069,,01:32.194,,01:33.522,01:34.255
39,01:34.680,01:32.305,01:34.205,01:33.618,01:34.042,,01:32.765,,01:34.054,01:32.028,01:33.650,01:32.964,01:32.526,01:31.556,01:31.549,,01:32.209,,01:34.887,01:34.318
40,01:34.573,01:32.135,01:34.445,01:33.824,01:34.309,,01:32.820,,01:33.693,01:32.145,01:33.381,01:32.955,01:32.838,01:31.567,01:31.536,,01:32.348,,01:32.726,01:33.375
41,01:33.247,01:32.443,01:34.030,01:33.422,01:35.527,,01:32.822,,01:34.246,01:31.883,01:33.329,01:32.843,01:32.598,01:31.584,01:31.089,,01:32.086,,01:32.108,01:33.137
42,01:33.124,01:32.602,01:34.180,01:33.291,01:33.597,,01:32.549,,01:34.117,01:32.094,01:33.223,01:32.633,01:32.555,01:33.091,01:31.964,,01:32.287,,01:31.825,01:33.133
43,01:32.716,01:32.002,01:34.954,01:33.399,01:34.183,,01:32.858,,01:34.417,01:32.395,01:33.075,01:32.930,01:32.547,01:33.003,01:31.896,,01:32.125,,01:31.677,01:33.231
44,01:32.978,01:32.345,01:41.485,01:33.396,01:32.892,,01:32.467,,01:37.519,01:31.710,01:33.704,01:32.506,01:32.562,01:32.706,01:31.338,,01:32.012,,01:31.593,01:33.312
45,01:32.957,01:32.198,,01:33.282,01:32.778,,01:32.383,,01:52.878,01:31.745,01:32.804,01:33.021,01:32.243,01:32.743,01:30.854,,01:32.041,,01:31.734,01:33.348
46,01:32.788,01:32.035,,01:33.341,01:37.705,,01:32.297,,01:31.633,01:31.601,01:33.359,01:32.676,01:32.412,01:32.313,01:31.610,,01:31.935,,01:31.797,01:33.269
47,01:32.777,01:32.028,,01:33.373,01:34.670,,01:32.423,,01:33.400,01:32.251,01:33.483,01:32.593,01:31.797,01:32.766,01:30.734,,01:32.313,,01:31.408,01:33.347
48,01:32.892,01:32.263,,01:33.042,01:35.530,,01:32.511,,01:35.982,01:32.716,01:33.018,01:33.621,01:32.534,01:32.829,01:31.588,,01:32.411,,01:32.505,01:32.885
49,01:33.100,01:31.914,,01:32.751,01:34.075,,01:32.982,,01:33.542,01:31.992,01:32.844,01:32.930,01:32.487,01:34.158,01:33.707,,01:32.896,,01:32.470,01:33.167
50,01:34.150,01:31.974,,01:33.083,,,01:33.008,,,01:33.431,01:33.565,,01:33.223,01:34.032,01:35.604,,01:35.424,,01:32.647,01:33.604
,,,,,,,,,,,,,,,,,,,,
