,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:49.322,01:41.915,01:44.475,01:56.674,01:46.760,01:50.248,01:40.686,01:39.250,01:48.675,01:38.086,01:42.748,01:43.576,01:45.348,01:36.680,01:44.097,01:48.030,01:49.270,01:47.669,01:35.354,01:46.204
2,01:38.611,01:36.098,01:36.891,01:36.076,01:38.489,01:39.310,01:35.001,01:35.035,01:37.583,01:34.796,01:36.182,01:36.311,01:37.718,01:34.575,01:36.392,01:42.803,01:37.579,01:37.944,01:34.359,01:38.373
3,01:37.353,01:35.991,01:36.430,01:36.845,01:37.122,01:38.309,01:35.695,01:35.240,01:38.746,01:34.866,01:36.131,01:35.933,01:37.136,01:34.484,01:36.047,01:37.795,01:37.364,01:37.867,01:34.493,01:37.121
4,01:36.535,01:36.194,01:36.763,01:38.102,01:37.151,01:37.661,01:35.396,01:34.859,01:38.120,01:34.740,01:36.132,01:36.285,01:36.843,01:34.787,01:36.316,01:38.278,01:36.738,01:36.963,01:34.654,01:36.840
5,01:37.397,01:36.255,01:36.530,01:38.570,01:37.253,01:38.186,01:35.374,01:35.129,01:37.615,01:34.779,01:36.243,01:36.523,01:37.316,01:34.629,01:36.014,01:38.816,01:36.974,01:38.036,01:34.716,01:37.206
6,01:37.915,01:36.280,01:36.786,01:40.668,01:38.057,01:38.493,01:35.334,01:34.558,01:38.039,01:35.049,01:36.668,01:36.492,01:37.307,01:35.049,01:36.475,01:38.874,01:36.451,01:38.065,01:34.851,01:37.375
7,01:37.390,01:36.091,01:37.096,01:37.412,01:36.740,01:38.116,01:35.206,01:34.855,01:37.084,01:34.846,01:36.315,01:36.568,01:37.234,01:34.976,01:36.602,01:38.536,01:35.718,01:37.198,01:34.647,01:37.910
8,01:37.286,01:36.033,01:36.756,01:37.666,01:37.427,01:38.545,01:35.715,01:35.107,01:36.950,01:34.673,01:36.521,01:37.388,01:37.525,01:34.764,01:35.446,01:39.526,01:35.500,01:37.058,01:34.760,01:37.242
9,01:37.193,01:35.890,01:36.449,01:37.030,01:36.980,01:38.149,01:36.021,01:35.238,01:37.051,01:34.652,01:37.073,01:36.479,01:36.851,01:34.662,01:34.418,01:38.621,01:35.027,01:36.893,01:34.371,01:36.815
10,01:36.900,01:36.537,01:36.474,01:37.059,01:36.606,01:37.957,01:35.598,01:35.034,01:36.962,01:34.946,01:36.018,01:36.376,01:36.162,01:34.601,01:34.206,01:37.953,01:35.332,01:36.808,01:34.562,01:36.710
11,01:36.304,01:36.180,01:35.929,01:37.235,01:36.162,01:39.123,01:35.260,01:34.973,01:36.585,01:34.232,01:35.895,01:35.888,01:35.843,01:34.470,01:33.450,01:37.910,01:35.493,01:36.234,01:34.281,01:36.109
12,01:36.149,01:34.972,01:35.611,01:35.607,01:35.965,01:38.077,01:35.364,01:34.505,01:35.893,01:34.479,01:35.532,01:35.770,01:35.427,01:34.443,01:33.428,01:37.487,01:35.177,01:35.732,01:33.963,01:36.025
13,01:35.787,01:35.079,01:36.998,01:35.823,01:35.781,01:37.214,01:34.943,01:34.504,01:35.965,01:33.872,01:35.378,01:35.636,01:35.290,01:34.154,01:33.742,01:35.955,01:35.593,01:35.928,01:33.679,01:35.808
14,01:35.540,01:34.914,01:35.704,01:34.988,01:36.476,01:37.241,01:35.880,01:34.744,01:35.684,01:33.825,01:35.201,01:35.619,01:35.069,01:33.822,01:33.803,01:37.048,01:34.446,01:35.404,01:33.691,01:35.684
15,01:35.214,01:34.521,01:35.118,01:35.298,01:35.359,01:37.107,01:35.674,01:34.580,01:35.646,01:33.548,01:34.492,01:35.344,01:34.816,01:33.629,01:33.353,01:37.164,01:34.450,01:35.612,01:33.803,01:35.773
16,01:35.679,01:34.230,01:35.260,01:35.299,01:35.315,01:36.632,01:34.434,01:34.267,01:35.417,01:34.149,01:34.556,01:35.747,01:34.963,01:33.386,01:33.717,01:36.700,01:35.181,01:35.841,01:33.735,01:35.229
17,01:35.217,01:34.180,01:34.807,01:34.987,01:34.953,01:36.645,01:34.288,01:33.757,01:35.602,01:33.349,01:34.371,01:36.245,01:34.640,01:33.282,01:33.366,01:36.440,01:35.124,01:34.830,01:33.355,01:34.789
18,01:35.029,01:34.072,01:35.305,01:35.263,01:35.174,01:36.766,01:34.294,01:33.996,01:35.124,01:33.332,01:34.550,01:35.224,01:34.828,01:33.181,01:33.486,01:36.824,01:33.535,01:35.169,01:33.146,01:34.822
19,01:34.775,01:33.900,01:34.866,01:35.019,01:36.435,01:36.663,01:33.514,01:33.684,01:34.794,01:33.223,01:34.270,01:34.566,01:34.985,01:33.263,01:33.403,01:36.490,01:33.356,01:35.310,01:33.791,01:35.260
20,01:36.021,01:33.771,01:34.776,01:35.043,01:34.887,01:36.274,01:33.584,01:33.991,01:35.409,01:33.258,01:34.239,01:34.541,01:34.674,01:33.356,01:33.019,01:36.425,01:33.269,01:35.877,01:33.359,01:34.774
21,01:35.679,01:33.550,01:34.701,01:35.664,01:34.764,01:36.209,01:33.517,01:33.491,01:35.823,01:33.541,01:34.486,01:34.677,01:34.736,01:33.392,01:33.020,01:35.979,01:33.509,01:35.137,01:33.436,01:34.912
22,01:52.194,01:33.725,01:34.633,01:35.253,01:35.235,01:36.572,01:33.620,01:33.586,01:35.147,01:33.472,01:33.883,01:46.772,01:34.736,01:33.545,01:33.306,01:36.428,01:33.729,01:35.218,01:33.302,01:35.028
23,01:33.873,01:34.941,01:34.707,01:34.889,01:35.543,01:36.282,01:33.872,01:33.194,01:35.116,01:32.981,01:33.392,01:35.167,01:34.672,01:33.289,01:33.218,01:36.659,01:33.595,01:35.129,01:33.336,01:35.038
24,01:34.503,01:34.276,01:34.784,01:35.120,01:35.238,01:39.990,01:34.111,01:33.334,01:35.468,01:33.516,01:33.980,01:35.252,01:34.584,01:33.829,01:33.148,01:41.832,01:34.129,01:35.289,01:33.883,01:34.827
25,01:34.781,01:34.301,01:35.324,01:35.145,01:35.478,01:39.217,01:34.686,01:33.248,01:35.663,01:34.302,01:34.170,01:35.345,01:35.317,01:34.241,01:33.708,01:37.382,01:33.703,01:35.654,01:34.323,01:34.589
26,01:34.945,01:34.907,01:34.855,01:35.877,01:35.385,01:37.048,01:34.198,01:34.285,01:36.403,01:34.569,01:34.169,01:35.556,01:35.000,01:33.775,01:34.212,01:39.521,01:34.522,01:35.220,01:33.575,01:34.867
27,01:35.053,01:34.627,01:35.252,01:35.055,01:35.036,01:39.965,01:34.057,01:35.293,01:35.639,01:33.570,01:34.512,01:35.414,01:35.049,01:33.901,01:34.645,01:37.915,01:33.945,01:35.293,01:33.457,01:34.874
28,01:35.422,01:34.565,01:35.610,01:35.874,01:35.628,01:37.330,01:34.066,01:35.022,01:36.520,01:33.825,01:34.488,01:35.719,01:35.830,01:33.914,01:34.749,01:36.825,01:34.498,01:35.407,01:33.411,01:34.869
29,01:34.633,01:34.469,01:34.813,01:35.975,01:35.692,01:36.767,01:34.172,01:34.219,01:35.945,01:33.748,01:34.441,01:35.616,01:35.024,01:33.932,01:34.093,01:37.267,01:34.004,01:35.838,01:33.682,01:35.013
30,01:34.901,01:34.682,01:35.152,01:36.032,01:36.287,01:39.197,01:34.801,01:35.234,01:37.424,01:33.922,01:34.363,01:36.048,01:34.667,01:34.005,01:34.059,01:38.525,01:34.454,01:36.100,01:34.109,01:34.949
31,01:35.117,01:34.721,01:35.320,01:36.293,01:35.926,01:37.964,01:35.747,01:34.597,02:00.528,01:34.125,01:34.440,01:36.194,01:35.628,01:34.206,01:34.705,01:38.081,01:34.176,01:36.651,01:33.737,01:35.232
32,01:35.954,01:35.185,01:35.596,01:36.615,01:36.589,01:37.671,01:34.297,01:35.005,01:35.346,01:34.823,01:34.641,01:36.676,01:35.862,01:34.182,01:34.755,01:38.021,01:35.214,01:36.733,01:33.885,01:35.101
33,01:33.872,01:35.828,01:35.480,01:40.674,01:37.634,01:38.768,01:34.068,01:34.591,01:35.303,01:33.828,01:34.881,01:37.968,01:34.841,01:34.141,01:34.845,01:42.241,01:34.646,01:36.780,01:34.009,01:35.198
34,01:33.255,01:36.757,01:35.745,01:42.242,01:37.553,01:40.885,01:34.044,01:36.852,01:35.846,01:34.199,01:35.945,01:37.536,01:35.655,01:34.513,01:35.973,01:36.891,01:35.617,01:37.675,01:34.646,01:35.447
35,01:34.038,01:52.578,01:36.617,01:56.426,01:37.354,01:38.733,01:34.410,01:36.931,01:35.356,01:35.106,01:35.314,01:38.049,01:36.365,01:35.029,01:37.402,01:37.651,01:35.358,01:38.537,01:33.872,01:35.829
36,01:34.221,01:34.215,01:37.375,01:35.280,01:34.949,01:56.480,01:34.406,01:34.445,01:35.595,01:34.362,01:34.892,01:55.897,01:36.664,01:34.948,01:34.635,01:36.272,01:35.356,01:54.322,01:34.019,01:36.122
37,01:34.779,01:34.567,02:40.070,01:36.276,01:35.857,01:36.248,01:34.249,01:35.737,01:39.063,01:37.807,01:34.822,01:35.283,01:35.315,01:51.505,01:35.043,01:35.946,01:58.582,01:35.187,01:35.037,01:35.684
38,01:33.557,01:34.823,01:54.178,01:35.662,01:53.103,01:36.972,01:35.118,01:52.328,01:35.406,01:35.924,01:35.441,01:35.032,01:34.939,01:35.404,01:34.529,01:36.281,01:35.086,01:35.987,01:53.841,01:35.671
39,01:33.718,01:35.206,01:34.587,01:35.753,01:34.790,01:37.823,01:35.450,01:33.676,01:37.719,01:34.472,01:35.486,01:35.240,01:35.207,01:34.933,01:34.820,01:36.933,01:35.133,01:37.127,01:33.922,01:36.048
40,01:33.523,01:34.680,01:34.645,01:35.626,01:34.947,01:38.590,01:58.884,01:34.077,01:34.569,01:34.582,02:06.878,01:37.427,01:35.123,01:34.618,01:35.186,01:56.454,01:35.476,01:36.303,01:33.949,01:36.009
41,01:34.068,01:34.683,01:34.854,01:35.106,01:34.997,01:37.615,01:33.750,01:34.052,01:34.579,01:34.410,01:36.058,01:35.396,01:35.714,01:34.500,01:34.736,01:36.086,01:35.765,01:37.857,01:34.444,01:53.530
42,01:34.819,01:34.691,01:38.331,01:34.670,01:34.890,01:37.394,01:34.003,01:34.461,01:35.380,01:34.538,01:35.125,01:35.429,01:35.739,01:34.357,01:34.585,01:38.003,01:35.228,01:38.251,01:33.869,01:34.958
43,01:35.035,01:34.688,01:36.020,01:34.530,01:37.474,01:37.037,01:34.056,01:34.788,01:35.837,01:36.054,01:36.362,01:35.621,01:35.576,01:34.365,01:34.881,01:37.359,01:35.495,01:35.787,01:34.151,01:35.218
