,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:46.819,01:48.365,01:52.788,01:55.415,01:51.046,01:55.428,01:49.796,01:44.121,01:53.468,01:45.695,01:54.903,01:48.808,01:51.703,01:42.612,01:41.458,01:54.422,01:47.574,01:52.586,01:49.072,01:50.440
2,01:43.222,01:44.746,01:46.841,01:46.931,01:47.155,02:11.965,01:47.388,01:42.284,01:46.669,01:43.439,01:45.909,01:45.603,01:47.036,01:41.750,01:42.040,01:47.013,01:44.017,01:46.652,01:47.529,01:47.255
3,01:42.958,01:43.728,01:46.358,01:46.217,01:45.068,01:43.702,01:43.167,01:41.373,01:46.334,01:42.544,01:46.300,01:44.335,01:45.117,01:41.271,01:41.250,01:46.152,01:43.655,01:46.087,01:45.047,01:44.965
4,01:43.120,01:42.990,01:44.512,01:45.602,01:44.708,01:44.610,01:43.219,01:41.388,01:44.801,01:42.876,01:45.040,01:43.747,02:19.657,01:41.125,01:41.071,01:45.217,01:43.116,01:44.340,01:44.057,01:44.531
5,01:43.158,01:43.297,01:44.105,01:45.267,01:44.330,01:45.006,01:43.970,01:41.604,01:44.110,01:43.070,01:45.118,01:44.162,01:43.728,01:41.482,01:41.628,01:45.205,01:43.126,01:44.108,01:43.705,01:44.263
6,01:43.193,01:43.399,01:44.481,02:10.949,01:44.269,01:45.529,01:44.237,01:42.040,01:44.428,01:42.894,01:44.676,01:44.277,01:45.194,01:41.830,01:41.906,01:45.366,01:43.167,01:44.695,01:43.866,01:44.285
7,01:43.189,01:43.063,01:44.703,01:43.694,01:44.314,01:45.917,01:44.368,01:41.608,01:44.494,01:42.758,01:44.431,01:44.283,01:44.221,01:41.741,01:41.677,01:45.670,01:43.021,01:44.401,01:44.200,01:44.131
8,01:43.337,01:44.775,01:44.456,01:43.366,01:44.192,01:46.681,01:44.557,01:42.247,02:00.655,01:42.504,01:44.038,01:44.101,01:43.816,01:41.932,01:41.763,01:45.565,01:45.682,01:44.608,01:44.276,01:44.455
9,01:43.137,01:43.888,01:43.263,01:43.442,01:43.134,01:46.586,01:44.149,01:42.181,01:42.851,01:42.881,01:44.009,01:44.391,01:43.610,01:41.568,01:41.590,01:45.360,01:42.646,01:45.120,01:44.381,02:02.202
10,01:42.696,01:43.368,01:44.342,01:43.427,01:43.749,01:45.344,01:43.462,01:42.049,01:43.369,01:42.274,01:43.925,02:02.899,01:43.365,01:41.710,01:41.732,01:45.127,01:42.900,02:00.961,01:44.082,01:43.096
11,01:43.576,02:00.686,01:43.092,01:43.666,01:42.973,01:45.538,02:02.604,01:42.269,01:43.148,01:42.056,01:43.513,01:42.046,01:43.478,01:58.851,01:41.822,01:45.930,01:42.767,01:42.649,01:42.186,01:43.440
12,02:01.477,01:42.244,01:45.147,01:43.525,01:43.712,01:46.001,01:42.015,01:43.229,01:43.047,01:42.831,01:45.106,01:42.704,01:44.096,01:40.426,01:42.073,02:04.635,02:00.995,01:43.064,01:42.494,01:43.189
13,01:42.161,01:42.419,01:44.886,01:44.045,02:02.425,01:45.956,01:44.982,02:01.373,01:43.121,02:00.732,01:44.213,01:42.855,01:43.225,01:40.102,01:42.177,01:43.505,01:41.894,01:43.993,01:43.775,01:43.484
14,01:41.928,01:42.984,01:43.673,01:44.131,01:43.301,01:45.759,02:29.128,01:40.287,01:43.227,01:41.037,01:44.028,01:43.349,01:43.427,01:40.411,02:01.383,01:43.865,01:41.943,01:43.719,01:43.002,01:43.260
15,01:42.067,01:41.986,01:43.938,01:44.068,01:43.525,01:46.000,,01:40.889,01:43.889,01:41.634,01:44.039,01:43.815,01:43.854,01:40.736,01:40.336,01:44.098,01:42.107,01:43.716,01:42.902,01:43.894
16,01:42.514,01:42.375,01:44.258,01:44.190,01:43.605,01:46.559,,01:41.070,01:45.177,01:41.629,01:44.273,01:43.680,01:43.967,01:40.872,01:40.808,01:43.820,01:42.141,01:44.142,02:02.707,01:43.880
17,01:42.136,01:42.021,01:44.163,01:43.980,01:43.463,01:45.849,,01:41.032,01:43.335,01:41.035,01:44.270,01:43.759,01:43.598,01:40.891,01:40.906,01:43.949,01:41.794,01:43.723,01:42.018,01:43.300
18,01:42.082,01:41.803,02:03.827,01:43.989,01:43.239,01:46.058,,01:40.812,01:43.333,01:41.107,01:46.355,01:42.885,01:44.415,01:40.798,01:40.559,01:44.071,01:41.468,01:43.523,01:43.136,01:43.397
19,01:41.712,01:41.577,01:42.988,01:44.421,01:41.958,01:46.793,,01:40.949,01:43.541,01:41.120,02:02.242,01:43.698,01:44.169,01:40.659,01:40.850,01:44.979,01:41.520,01:43.549,01:41.567,01:44.648
20,01:41.570,01:41.828,01:42.789,01:44.021,01:42.757,01:46.805,,01:41.116,01:43.500,01:41.107,01:43.419,01:43.265,01:44.441,01:41.038,01:40.432,01:44.116,01:41.542,01:43.845,01:41.281,01:45.524
21,01:42.034,01:41.972,01:42.722,01:44.310,01:43.085,01:47.405,,01:41.327,01:43.400,01:41.164,01:43.098,01:43.049,01:44.775,01:40.802,01:40.807,01:44.614,01:42.084,01:44.368,01:41.544,01:44.476
22,01:42.066,01:41.811,01:42.658,01:44.527,01:42.824,01:45.829,,01:40.993,01:43.564,01:41.691,01:42.419,01:43.118,01:44.430,01:40.991,01:40.768,01:44.672,01:42.077,01:43.726,01:41.498,01:43.737
23,01:41.626,01:41.400,01:43.334,01:44.726,01:42.439,01:48.314,,01:41.468,01:46.618,01:41.065,01:42.164,01:42.439,01:44.498,01:40.837,01:40.196,01:44.498,01:41.536,01:43.665,01:40.737,01:43.507
24,01:41.861,01:41.515,01:43.038,01:44.598,01:42.342,01:47.399,,01:41.442,01:43.832,01:41.198,01:42.669,01:42.629,01:44.096,01:40.838,01:40.422,01:45.815,01:42.365,01:44.190,01:40.733,01:43.908
25,01:42.241,01:43.332,01:43.148,01:45.229,01:42.685,02:06.636,,01:41.784,01:43.025,01:41.194,01:42.927,01:42.666,01:46.417,01:41.215,01:40.242,01:45.510,01:42.372,01:44.917,01:41.161,01:45.277
26,01:42.420,01:42.000,01:43.699,02:09.179,01:42.594,01:53.269,,01:41.622,01:42.948,01:40.933,01:43.496,01:42.993,02:12.872,01:41.493,01:40.878,01:43.939,01:42.356,01:44.819,01:40.852,01:44.481
27,01:50.799,01:50.136,01:50.579,01:45.211,01:52.415,01:43.595,,01:48.071,01:51.749,01:52.284,01:52.200,01:51.664,01:44.363,01:40.653,01:41.212,01:52.550,01:50.541,01:52.520,01:48.609,02:10.997
28,01:41.659,01:42.317,01:42.398,01:42.693,01:42.373,01:44.443,,01:46.295,01:42.779,01:41.371,01:43.470,01:42.797,01:42.194,01:50.440,01:50.366,01:43.561,01:41.767,01:43.873,01:40.626,01:40.792
29,01:41.671,01:42.453,01:42.059,01:42.989,01:42.658,01:44.214,,01:41.519,02:00.282,01:41.033,01:43.550,01:42.618,01:42.448,01:41.165,01:40.504,01:43.927,01:42.079,01:45.184,01:40.829,01:41.701
30,01:41.874,01:43.499,01:42.170,01:42.760,01:43.484,01:48.426,,01:44.262,01:40.865,01:42.445,01:42.586,01:43.395,01:42.427,01:59.712,01:40.081,01:45.958,02:03.446,01:44.184,01:41.162,01:41.632
31,02:01.159,02:03.844,01:42.470,01:45.076,01:43.887,01:44.390,,02:00.031,01:41.851,01:42.246,01:42.684,01:44.043,01:42.714,01:40.355,01:40.582,01:44.319,01:41.436,01:46.447,01:40.631,01:41.560
32,01:41.824,01:41.524,01:42.253,01:43.223,02:02.846,01:43.771,,01:39.566,01:41.352,01:42.603,01:42.311,01:44.153,01:42.599,01:40.452,01:40.866,01:45.036,01:41.407,02:02.344,01:40.703,01:41.602
33,01:41.318,01:41.184,01:42.212,01:42.888,01:42.505,01:43.862,,01:40.025,01:41.993,01:59.567,01:44.478,02:04.229,01:43.075,01:40.126,01:40.796,01:44.286,01:40.594,01:41.877,01:42.111,01:41.925
34,01:41.309,01:40.948,01:42.411,01:43.914,01:42.636,01:43.844,,01:41.176,01:42.100,01:40.065,01:44.675,01:42.217,01:43.903,01:40.150,01:41.465,01:44.943,01:41.100,01:41.790,01:41.145,01:41.932
35,01:41.647,01:41.426,01:42.456,01:42.535,01:42.012,01:43.602,,01:40.182,01:41.817,01:40.519,02:00.077,01:42.024,01:42.623,01:40.490,01:41.225,02:02.135,01:41.315,01:41.972,02:00.983,01:41.964
36,01:40.810,01:41.316,01:42.384,01:42.464,01:41.583,01:43.863,,01:40.434,01:41.575,01:40.184,01:41.189,01:41.711,01:42.401,01:40.266,01:41.373,01:41.395,01:40.816,01:41.120,01:40.165,01:41.689
37,01:41.020,01:40.498,01:42.504,01:42.768,01:41.622,01:47.875,,01:39.981,01:41.529,01:40.061,01:41.478,01:41.660,01:42.705,01:40.012,01:41.436,01:41.811,01:40.517,01:41.936,01:40.216,01:41.527
38,01:41.088,01:40.735,01:43.198,01:42.825,01:41.688,02:03.594,,01:40.268,01:41.914,01:40.957,01:41.570,01:41.594,01:44.403,01:40.077,02:00.017,01:42.693,01:40.931,01:42.011,01:40.249,01:43.930
39,01:41.315,01:40.631,02:02.366,01:43.866,01:41.692,01:46.284,,01:40.488,01:41.448,01:41.103,01:41.450,01:41.480,01:42.425,01:40.687,01:40.304,01:42.173,01:41.056,01:41.571,01:40.247,01:41.719
40,01:40.706,01:40.275,01:40.481,01:42.041,01:41.585,01:47.874,,01:40.563,01:59.279,01:40.229,01:41.341,01:41.413,02:05.186,01:39.955,01:39.668,01:42.296,01:40.377,01:42.221,01:40.181,01:41.475
41,01:40.491,01:40.228,01:41.121,01:42.738,01:43.477,01:43.013,,01:40.671,01:40.118,01:39.303,01:43.090,01:41.697,,01:40.374,01:38.485,01:42.923,01:40.709,01:44.771,01:40.147,01:42.689
42,01:41.492,01:40.442,01:41.158,01:42.643,01:43.828,01:42.886,,01:41.319,01:40.701,01:40.484,01:42.410,01:43.927,,01:40.216,01:38.808,01:49.918,01:41.257,01:42.371,01:40.676,01:41.831
43,01:40.345,01:40.405,01:40.820,01:42.282,01:41.340,01:46.483,,01:40.754,01:40.499,01:40.573,01:41.895,01:42.614,,01:40.207,01:39.781,01:42.761,01:40.542,01:42.028,01:40.464,01:41.767
44,01:40.420,01:40.738,01:41.163,01:42.198,01:41.662,01:43.127,,01:40.390,01:40.612,01:40.335,01:43.711,01:41.312,,01:39.661,01:39.229,01:42.119,01:40.892,01:41.691,01:40.326,01:41.145
45,01:40.603,01:40.634,01:40.883,01:42.091,01:41.608,01:42.975,,01:41.123,01:40.417,01:40.162,01:41.716,01:41.331,,01:39.564,01:39.025,01:42.080,01:40.961,01:41.559,01:41.268,01:41.776
